repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
kivymd/KivyMD,2413,695,97,87,Python,MIT,False,False,2018-08-29T18:16:24Z,2025-10-27T11:04:44Z,2025-10-26T11:44:03Z,170666,True,False,master,android;app;cross-platform;ios;kivy;kivymd;library;linux;macos;material-design;python;ui;windows,https://kivymd.readthedocs.io,"KivyMD is a collection of Material Design compliant widgets for use with Kivy, a framework for cross-platform, touch-enabled graphical applications. https://youtube.com/c/KivyMD https://twitter.com/KivyMD https://habr.com/ru/users/kivymd https://stackoverflow.com/tags/kivymd",https://github.com/kivymd/KivyMD,0,0,0.0,3,0,0.0978224871667494,0.0,0.0,0.0,0.9971804511278196,1.0,0.0,bio,1.0,0.2692825425461318,kivymd,0.0,,,0.18849777978229226
insitro/redun,559,53,15,34,Python,Apache-2.0,False,False,2021-11-04T00:14:09Z,2025-10-24T14:33:07Z,2025-10-24T14:34:06Z,6482,False,True,main,aws;bioinformatics;data-engineering;data-science;docker;etl;gcp;ml;python;workflow-engine,https://insitro.github.io/redun/,Yet another redundant workflow engine,https://github.com/insitro/redun,0,0,0.0,5,0,0.0210713694320251,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2664315665280937,redun,0.0,,,0.18650209656966557
google/deepvariant,3537,762,155,6,Python,BSD-3-Clause,False,False,2017-11-23T01:56:22Z,2025-10-27T17:50:49Z,2025-10-21T03:35:02Z,1050248,False,True,r1.9,bioinformatics;deep-learning;deep-neural-network;deepvariant;dna;genome;genomics;machine-learning;ngs;science;sequencing;tensorflow,,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,https://github.com/google/deepvariant,0,0,0.0,8,0,0.1443533697632058,0.0,0.0,0.0,0.9924812030075189,0.92,0.0,bio,1.0,0.266118794253393,deepvariant,0.0,,,0.1862831559773751
histolab/histolab,424,63,6,41,Python,Apache-2.0,False,False,2020-05-09T07:38:51Z,2025-10-15T14:29:15Z,2025-10-27T18:17:36Z,382890,True,True,main,bioinformatics;biology;data-science;digital-pathology;digital-pathology-data;hacktoberfest;pathology;python;research;science-research;wsi,http://histolab.readthedocs.io,Library for Digital Pathology Image Processing,https://github.com/histolab/histolab,0,0,0.0,2,0,0.0154826958105646,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,ml,1.05,0.2655539976991659,histolab,0.0,,,0.1858877983894161
OmicsML/dance,383,39,6,34,Python,BSD-2-Clause,False,False,2022-06-07T20:32:25Z,2025-10-22T16:32:16Z,2025-10-20T16:54:25Z,20620,True,False,main,benchmark;bioinformatics;computational-biology;dance;data-science;deep-learning;graph-neural-networks;machine-learning;multimodality;python;single-cell;single-cell-rna-seq;single-cell-rna-sequencing;spatial-transcriptomics,https://pydance.readthedocs.io,DANCE: a deep learning library and benchmark platform for single-cell analysis,https://github.com/OmicsML/dance,0,0,0.0,9,0,0.0137853949329359,0.0,0.0,0.0,0.9915413533834586,1.0,0.0,ml,1.05,0.2645067750411797,dance,0.0,,,0.18515474252882577
BayraktarLab/cell2location,385,69,8,134,Python,Apache-2.0,False,False,2020-05-10T23:38:37Z,2025-10-29T06:23:20Z,2025-10-13T21:02:31Z,49087,False,False,master,,https://cell2location.readthedocs.io/en/latest/,Comprehensive mapping of tissue cell architecture via integrated single cell and spatial transcriptomics (cell2location model),https://github.com/BayraktarLab/cell2location,0,0,0.0,15,0,0.0138681900976982,0.0,0.0,0.0,0.9859022556390976,1.0,0.0,ml,1.05,0.2639320567626219,cell2location,0.0,,,0.18475243973383532
MDIL-SNU/SevenNet,198,40,6,21,Python,MIT,False,False,2023-02-16T06:31:53Z,2025-10-26T12:48:18Z,2025-10-28T10:58:07Z,133764,True,False,main,,https://pubs.acs.org/doi/10.1021/acs.jctc.4c00190,SevenNet - a graph neural network interatomic potential package supporting efficient multi-GPU parallel molecular dynamics simulations.,https://github.com/MDIL-SNU/SevenNet,0,0,0.0,1,0,0.0061268421924159,0.0,0.0,0.0,0.99906015037594,1.0,0.0,ml,1.05,0.2636879526498811,sevennet,0.0,,,0.18458156685491675
snakemake/snakefmt,180,32,3,13,Python,MIT,False,False,2020-02-28T14:48:47Z,2025-10-29T04:24:32Z,2025-10-29T04:24:28Z,835,True,False,master,bioinformatics;black;code;codeformatter;fmt;formatter;python;snakemake,,The uncompromising Snakemake code formatter,https://github.com/snakemake/snakefmt,0,0,0.0,0,0,0.0053816857095545,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2636301539990064,snakefmt,0.0,,,0.18454110779930447
gyorilab/indra,199,71,21,42,Python,BSD-2-Clause,False,False,2014-08-11T17:44:05Z,2025-10-23T02:48:30Z,2025-10-23T02:48:27Z,364586,False,True,master,bioinformatics;biology;computational-biology;indra;modeling;nlp;pysb;sbml;systems-biology,http://indra.bio,"INDRA (Integrated Network and Dynamical Reasoning Assembler) is an automated model assembly system interfacing with NLP systems and databases to collect knowledge, and through a process of assembly, produce causal graphs and dynamical models.",https://github.com/gyorilab/indra,0,0,0.0,6,0,0.0061682397747971,0.0,0.0,0.0,0.9943609022556392,1.0,0.0,ml,1.05,0.2632032250895495,indra,0.0,,,0.18424225756268464
zktuong/dandelion,121,25,7,16,Python,AGPL-3.0,False,False,2020-05-18T21:00:30Z,2025-10-27T20:28:37Z,2025-10-27T20:31:30Z,502593,True,False,master,,https://sc-dandelion.readthedocs.io/,dandelion - A single cell BCR/TCR V(D)J-seq analysis package for 10X Chromium 5' data,https://github.com/zktuong/dandelion,0,0,0.0,1,0,0.0029392283490644,0.0,0.0,0.0,0.99906015037594,1.0,0.0,ml,1.05,0.2630185537427772,dandelion,0.0,,,0.18411298761994405
general-molecular-simulations/so3lr,135,16,4,10,Python,MIT,False,False,2024-10-05T08:17:30Z,2025-10-24T13:32:12Z,2025-10-24T13:32:08Z,16109,False,False,main,computational-chemistry;deep-learning;force-field;interatomic-potentials;jax;machine-learining;molecular-dynamics;quantum-chemistry,https://doi.org/10.1021/jacs.5c09558,SO3krates and Universal Pairwise Force Field for Molecular Simulation,https://github.com/general-molecular-simulations/so3lr,0,0,0.0,5,0,0.003518794502401,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2627455257928726,so3lr,0.0,,,0.1839218680550108
mehta-lab/VisCy,75,12,7,51,Python,BSD-3-Clause,False,False,2023-05-30T16:52:18Z,2025-10-29T00:56:30Z,2025-10-28T22:27:14Z,93472,True,False,main,bioimage-analysis;computer-vision;image-translation;machine-learning;representation-learning,https://pypi.org/project/viscy,computer vision models for single-cell phenotyping,https://github.com/mehta-lab/VisCy,0,0,0.0,0,0,0.0010349395595297,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2627173373075012,viscy,0.0,,,0.18390213611525083
openforcefield/openff-interchange,80,25,17,116,Python,MIT,False,False,2020-05-15T22:32:52Z,2025-10-27T19:41:27Z,2025-10-27T19:41:23Z,7037,True,False,main,amber;forcefield;gromacs;interoperability;lammps;molecular-simulation;openmm,https://docs.openforcefield.org/projects/interchange,"A project (and object) for storing, manipulating, and converting molecular mechanics data.",https://github.com/openforcefield/openff-interchange,0,0,0.0,1,0,0.0012419274714356,0.0,0.0,0.0,0.99906015037594,1.0,0.0,ml,1.05,0.2626621205584751,openff-interchange,0.0,,,0.18386348439093256
open2c/pairtools,116,36,9,52,Python,MIT,False,False,2017-02-23T06:17:43Z,2025-10-22T12:58:42Z,2025-10-24T12:54:02Z,3285,True,False,master,3d-genome;bioinformatics;file-formatter;hi-c;ngs;pairs-file;python,,Extract 3D contacts (.pairs) from sequencing alignments,https://github.com/open2c/pairtools,0,0,0.0,5,0,0.0027322404371584,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2625803494391717,pairtools,0.0,,,0.18380624460742018
chn-lee-yumi/MaterialSearch,1715,195,11,9,Python,GPL-3.0,False,False,2023-03-16T11:33:21Z,2025-10-29T02:30:15Z,2025-10-13T12:54:21Z,5252,True,False,main,,,Semantic search. Search local photos and videos through natural language. AI语义搜索本地素材。以图搜图、查找本地素材、根据文字描述匹配画面、视频帧搜索、根据画面描述搜索视频。,https://github.com/chn-lee-yumi/MaterialSearch,0,0,0.0,16,0,0.0689269746646795,0.0,0.0,0.0,0.9849624060150376,1.0,0.0,bio,1.0,0.2622816355344396,materialsearch,0.0,,,0.18359714487410772
graeter-group/grappa,54,4,4,6,Python,GPL-3.0,False,False,2023-07-07T14:27:49Z,2025-10-22T11:15:14Z,2025-10-22T08:16:25Z,27761,False,False,main,,https://pubs.rsc.org/en/content/articlepdf/2025/sc/d4sc05465b,A machine learned Molecular Mechanics force field with integration into GROMACS and OpenMM,https://github.com/graeter-group/grappa,0,0,0.0,7,0,0.0001655903295247,0.0,0.0,0.0,0.993421052631579,1.0,0.0,ml,1.05,0.261843984495516,grappa,0.0,,,0.18329078914686117
vitessce/vitessce-python,57,10,5,115,Python,MIT,False,False,2020-09-01T21:11:52Z,2025-10-28T12:49:54Z,2025-10-20T17:23:55Z,37087,False,True,main,data-visualization;hidivelab;ipywidget;jupyter-widget;jupyterlab-extension;kharchenkolab;single-cell;vitessce,https://python-docs.vitessce.io,Python API and Jupyter widget for Vitessce,https://github.com/vitessce/vitessce-python,0,0,0.0,9,0,0.0002897830766683,0.0,0.0,0.0,0.9915413533834586,1.0,0.0,ml,1.05,0.2616726965513635,vitessce-python,0.0,,,0.18317088758595443
kundajelab/bpnet,167,36,12,0,Python,MIT,False,False,2019-07-26T23:10:04Z,2025-10-19T08:18:44Z,2025-10-10T05:23:05Z,10678,True,False,master,,,Toolkit to train base-resolution deep neural networks on functional genomics data and to interpret them,https://github.com/kundajelab/bpnet,0,0,,19,0,0.0048435171385991,0.0,0.0,0.0,0.9821428571428572,1.0,0.0,ml,1.05,0.2616421385991058,bpnet,0.0,,,0.18314949701937405
tjiangHIT/cuteSV,273,38,5,49,Python,MIT,False,False,2018-09-11T08:26:12Z,2025-09-30T10:14:36Z,2025-09-30T10:14:32Z,3186,True,False,master,oxford-nanopore;pacbio-data;structural-variation,,Long read based human genomic structural variation detection with cuteSV,https://github.com/tjiangHIT/cuteSV,0,0,0.0,29,0,0.0092316608710051,0.0,0.0,0.0,0.9727443609022556,1.0,0.0,ml,1.05,0.2615768066776479,cutesv,0.0,,,0.1831037646743535
ga4gh/vrs-python,60,37,14,70,Python,Apache-2.0,False,False,2017-12-28T19:55:25Z,2025-10-15T12:30:07Z,2025-10-15T12:30:04Z,18311,True,False,main,bioinformatics;ga4gh;genomics,https://github.com/ga4gh/vrs,GA4GH Variation Representation Python Implementation,https://github.com/ga4gh/vrs-python,0,0,0.0,14,0,0.0004139758238118,0.0,0.0,0.0,0.986842105263158,1.0,0.0,ml,1.05,0.2612053559756321,vrs-python,0.0,,,0.18284374918294247
HKU-BAL/ClairS-TO,70,4,4,4,Python,BSD-3-Clause,False,False,2023-11-07T04:39:16Z,2025-10-16T10:58:50Z,2025-10-13T00:05:26Z,12693,False,False,main,bioinformatics;deep-learning;genomics;illumina;long-read-sequencing;long-reads;nanopore;ont;pacbio;snvs;somatic-mutations;somatic-variants;tumor-only;tumors;variant-calling;variants,,ClairS-TO - a deep-learning method for tumor-only somatic variant calling,https://github.com/HKU-BAL/ClairS-TO,0,0,0.0,16,0,0.0008279516476237,0.0,0.0,0.0,0.9849624060150376,1.0,0.0,ml,1.05,0.2610949224775799,clairs-to,0.0,,,0.18276644573430595
XMU-Kuangnan-Fang-Team/GENetLib,196,21,12,18,Python,MIT,False,False,2024-05-26T07:40:22Z,2025-10-06T08:46:46Z,2025-09-24T03:49:23Z,4638,False,True,main,bioinformatics;deep-learning;functional-data-analysis;g-e-interaction;genome;genome-analysis;neural-network;penalty;python;pytorch;sparsity,https://genetlib.readthedocs.io/en/latest/,A Python library for Gene–environment interaction analysis via deep learning,https://github.com/XMU-Kuangnan-Fang-Team/GENetLib,0,0,0.0,35,0,0.0060440470276535,0.0,0.0,0.0,0.9671052631578948,1.0,0.0,ml,1.05,0.2603153025073862,genetlib,0.0,,,0.18222071175517035
JacksonBurns/fastprop,54,8,1,1,Python,MIT,False,False,2023-11-12T16:48:12Z,2025-10-23T05:53:21Z,2025-10-02T18:19:59Z,6624,False,True,main,chemistry;machine-learning;qspr,https://jacksonburns.github.io/fastprop/,Fast Molecular Property Prediction with mordredcommunity,https://github.com/JacksonBurns/fastprop,0,0,0.0,27,0,0.0001655903295247,0.0,0.0,0.0,0.974624060150376,1.0,0.0,ml,1.05,0.2598703002849897,fastprop,0.0,,,0.18190921019949277
AI-sandbox/neural-admixture,82,11,4,4,Python,,False,False,2021-01-20T11:50:38Z,2025-10-09T07:50:44Z,2025-09-29T17:48:07Z,2155,True,False,main,admixture;ancestry-inference;genomics;machine-learning;population-genetics,,Rapid population clustering with autoencoders,https://github.com/AI-sandbox/neural-admixture,0,0,0.0,30,0,0.001324722636198,0.0,0.0,0.0,0.9718045112781954,1.0,0.0,ml,1.05,0.2598176654378121,neural-admixture,0.0,,,0.18187236580646846
plotly/dash-cytoscape,656,124,26,68,Python,MIT,False,False,2018-08-06T18:47:06Z,2025-10-28T17:05:45Z,2025-08-09T18:56:08Z,80755,True,False,main,bioinformatics;biopython;computational-biology;cytoscape;cytoscapejs;dash;data-science;graph-theory;network-graph;network-visualization;plotly;plotly-dash,https://dash.plot.ly/cytoscape,"Interactive network visualization in Python and Dash, powered by Cytoscape.js",https://github.com/plotly/dash-cytoscape,0,0,0.0,81,0,0.0250869349230004,0.0,0.0,0.0,0.9238721804511278,1.0,0.0,ml,1.05,0.2597748352811985,dash-cytoscape,0.0,,,0.18184238469683894
SEDenmarkLab/molli,61,5,5,20,Python,MIT,False,False,2022-10-25T16:50:26Z,2025-10-15T09:17:34Z,2025-09-26T14:00:46Z,69720,True,True,main,,https://molli.readthedocs.io/en/latest/01-molli-preamble.html,Molecular Library Toolbox,https://github.com/SEDenmarkLab/molli,0,0,0.0,33,0,0.000455373406193,0.0,0.0,0.0,0.9689849624060152,1.0,0.0,ml,1.05,0.2593390494679321,molli,0.0,,,0.18153733462755248
facebookresearch/all-atom-diffusion-transformer,266,30,5,2,Python,NOASSERTION,False,False,2025-03-04T07:29:02Z,2025-10-26T12:45:30Z,2025-09-04T05:43:30Z,1645,False,False,main,diffusion;generation;latent-diffusion;materials;molecules;transformer,https://www.arxiv.org/abs/2503.03965,Official implementation of All Atom Diffusion Transformers (ICML 2025),https://github.com/facebookresearch/all-atom-diffusion-transformer,0,0,0.0,55,0,0.0089418777943368,0.0,0.0,0.0,0.9483082706766918,1.0,0.0,ml,1.05,0.2589501627578633,all-atom-diffusion-transformer,0.0,,,0.18126511393050432
AdaptInfer/Contextualized,76,13,2,38,Python,GPL-3.0,False,False,2021-08-03T20:29:06Z,2025-10-22T12:33:17Z,2025-09-20T02:16:52Z,105457,True,True,main,bioinformatics;machine-learning;medical-informatics;statistics,http://contextualized.ml/,"An SKLearn-style toolbox for estimating and analyzing models, distributions, and functions with context-specific parameters.",https://github.com/AdaptInfer/Contextualized,0,0,0.0,39,0,0.0010763371419109,0.0,0.0,0.0,0.9633458646616542,1.0,0.0,ml,1.05,0.2588773465892749,contextualized,0.0,,,0.18121414261249244
pachterlab/gget,1066,78,7,20,Python,BSD-2-Clause,False,False,2022-05-04T17:31:31Z,2025-10-28T01:15:44Z,2025-10-29T00:28:38Z,346206,True,True,main,alphafold;alphafold2;archs4;blast;databases;enrichment-analysis;enrichr;ensembl;genomics;gget;ncbi;proteomics;reference;rna-seq;transcriptomics;uniprot,https://gget.bio,🧬 gget enables efficient querying of genomic reference databases,https://github.com/pachterlab/gget,0,0,0.0,0,0,0.0420599436992879,0.0,0.0,0.0,1.0,1.0,0.0,bio,1.0,0.2584119887398576,gget,0.0,,,0.1808883921179003
sib-swiss/training-collection,1068,189,44,1,Python,NOASSERTION,False,False,2021-12-13T10:41:18Z,2025-10-28T14:18:18Z,2025-10-26T01:50:35Z,198,True,False,main,,,Collection of bioinformatics training materials,https://github.com/sib-swiss/training-collection,0,0,0.0,3,0,0.0421427388640503,0.0,0.0,0.0,0.9971804511278196,1.0,0.0,bio,1.0,0.258146592885592,training-collection,0.0,,,0.1807026150199144
qiyunzhu/woltka,75,24,8,48,Python,BSD-3-Clause,False,False,2020-01-20T06:06:23Z,2025-09-09T08:59:53Z,2025-09-08T15:38:05Z,20985,True,False,main,bioinformatics;metagenomics;microbiome,,Woltka: a versatile meta'omic data classifier,https://github.com/qiyunzhu/woltka,0,0,0.0,51,0,0.0010349395595297,0.0,0.0,0.0,0.9520676691729324,1.0,0.0,ml,1.05,0.2576844425706591,woltka,0.0,,,0.18037910979946134
cnapy-org/CNApy,58,9,2,17,Python,Apache-2.0,False,False,2019-11-15T14:45:40Z,2025-10-16T07:10:22Z,2025-10-21T12:00:20Z,7298,False,True,master,bioinformatics;cobra;computational-biology;constraint-based-analysis;constraint-based-modeling;constraint-based-reconstruction;constraint-programming;fba;flux-balance-analysis;flux-variability;fva;metabolic-engineering;metabolic-models;metabolic-networks;metabolic-reconstruction;sbml;stoichiometric-modeling;systems-biology,https://cnapy-org.github.io/CNApy-guide/,"An integrated visual environment for metabolic modeling with common methods such as FBA, FVA and Elementary Flux Modes, and advanced features such as thermodynamic methods, extended Minimal Cut Sets, OptKnock, RobustKnock, OptCouple and more!",https://github.com/cnapy-org/CNApy,0,0,0.0,8,0,0.0003311806590495,0.0,0.0,0.0,0.9924812030075189,0.97,0.0,ml,1.05,0.2570550742541899,cnapy,0.0,,,0.1799385519779329
GeoPyTool/GeoPyTool,266,62,17,3,Python,GPL-3.0,False,False,2016-07-08T05:22:00Z,2025-10-22T16:27:13Z,2025-08-15T07:13:03Z,583699,True,False,master,chemistry;cugb;geochemistry;geology;python;sedim;sedimentary;structual,http://geopytool.com/,An application based on Python and designed as a solution for geology related daily work.,https://github.com/GeoPyTool/GeoPyTool,0,0,0.0,75,0,0.0089418777943368,0.0,0.0,0.0,0.9295112781954888,1.0,0.0,ml,1.05,0.2569764785473371,geopytool,0.0,,,0.17988353498313595
assemblerflow/flowcraft,245,45,17,44,Python,GPL-3.0,False,False,2018-01-22T14:54:30Z,2025-09-09T09:12:42Z,2025-08-10T08:45:01Z,8274,True,False,master,bacterial;genomics;nextflow;pipeline,,FlowCraft: a component-based pipeline composer for omics analysis using Nextflow. :whale::package:,https://github.com/assemblerflow/flowcraft,0,0,0.0,80,0,0.0080725285643318,0.0,0.0,0.0,0.924812030075188,1.0,0.0,ml,1.05,0.2563004941564044,flowcraft,0.0,,,0.17941034590948304
pengxingang/PocketXMol,88,10,1,4,Python,MIT,False,False,2024-10-18T01:55:30Z,2025-10-20T09:32:36Z,2025-08-23T05:05:58Z,4778,True,False,master,,,"Implementation of PocketXMol, the pocket-interacting molecular generative foundation model.",https://github.com/pengxingang/PocketXMol,0,0,0.0,67,0,0.0015731081304851,0.0,0.0,0.0,0.93703007518797,1.0,0.0,ml,1.05,0.2562185106021387,pocketxmol,0.0,,,0.17935295742149707
gcorso/DiffDock,1354,321,20,129,Python,MIT,False,False,2022-10-04T16:42:00Z,2025-10-27T17:42:30Z,2025-05-02T13:59:19Z,221295,True,False,main,binding;computational-biology;diffusion-models;docking;equivariance;machine-learning;non-euclidean-geometry;score-based-models,https://arxiv.org/abs/2210.01776,"Implementation of DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",https://github.com/gcorso/DiffDock,0,0,0.0,180,0,0.0539824474250703,0.0,0.0,0.0,0.8308270676691729,1.0,0.0,ml,1.05,0.2560731560645279,diffdock,0.0,,,0.17925120924516952
ECSIM/opem,220,59,9,1,Python,MIT,False,False,2017-12-16T15:42:52Z,2025-10-22T16:28:22Z,2025-10-28T06:24:59Z,18679,True,True,master,chemistry;dynamic-analysis;electrochemistry;fuel-cell;opem;pem;physics;physics-simulation;python;script;simulation;simulator;static-analysis;static-analyzer,http://opem.ecsim.site,OPEM (Open Source PEM Fuel Cell Simulation Tool),https://github.com/ECSIM/opem,0,0,0.0,1,0,0.0070375890048021,0.0,0.0,0.0,0.99906015037594,0.95,0.0,ml,1.05,0.2560042094804822,opem,0.0,,,0.1792029466363375
zotko/xyz2graph,86,23,1,0,Python,ISC,False,False,2018-08-11T12:05:10Z,2025-09-12T07:15:28Z,2025-08-18T20:23:07Z,7829,True,True,main,3d-plot;atomic-coordinates;chemical-structures;chemistry;chemoinformatics;computational-chemistry;data-visualization;molecular-graph;molecular-modeling;molecule;molecule-visualization;networkx;plotly;scientific-computing;xyz-files;xyz-reader,,Convert an xyz file into a molecular graph and create a 3D visualisation of the graph.,https://github.com/zotko/xyz2graph,0,0,,71,0,0.0014903129657228,0.0,0.0,0.0,0.9332706766917294,1.0,0.0,ml,1.05,0.2558063867754334,xyz2graph,0.0,,,0.17906447074280335
lucidrains/enformer-pytorch,537,96,15,15,Python,MIT,False,False,2021-10-23T19:33:01Z,2025-10-27T23:59:17Z,2025-07-07T19:41:21Z,9189,True,False,main,artificial-intelligence;attention-mechanism;deep-learning;dna-sequences;gene-expression;genomics;transformer,,"Implementation of Enformer, Deepmind's attention network for predicting gene expression, in Pytorch",https://github.com/lucidrains/enformer-pytorch,0,0,0.0,113,0,0.020160622619639,0.0,0.0,0.0,0.893796992481203,1.0,0.0,ml,1.05,0.2555824149606505,enformer-pytorch,0.0,,,0.17890769047245533
