repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
gyorilab/indra,199,71,21,42,Python,BSD-2-Clause,False,False,2014-08-11T17:44:05Z,2025-10-23T02:48:30Z,2025-10-23T02:48:27Z,364586,False,True,master,bioinformatics;biology;computational-biology;indra;modeling;nlp;pysb;sbml;systems-biology,http://indra.bio,"INDRA (Integrated Network and Dynamical Reasoning Assembler) is an automated model assembly system interfacing with NLP systems and databases to collect knowledge, and through a process of assembly, produce causal graphs and dynamical models.",https://github.com/gyorilab/indra,0,0,0.0,6,0,0.0061679844351533,0.0,0.0,0.0,0.9943609022556392,1.0,0.0,ml,1.05,0.2632031714682243,indra,0.0,,,0.184242220027757
zktuong/dandelion,121,25,7,16,Python,AGPL-3.0,False,False,2020-05-18T21:00:30Z,2025-10-27T20:28:37Z,2025-10-27T20:31:30Z,502593,True,False,master,,https://sc-dandelion.readthedocs.io/,dandelion - A single cell BCR/TCR V(D)J-seq analysis package for 10X Chromium 5' data,https://github.com/zktuong/dandelion,0,0,0.0,2,0,0.0029391066771536,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,ml,1.05,0.2629198439811496,dandelion,0.0,,,0.1840438907868047
pengxingang/PocketXMol,88,10,1,4,Python,MIT,False,False,2024-10-18T01:55:30Z,2025-10-29T12:18:16Z,2025-10-29T12:18:11Z,4806,True,False,master,,,"Implementation of PocketXMol, the pocket-interacting molecular generative foundation model.",https://github.com/pengxingang/PocketXMol,0,0,0.0,0,0,0.0015730430103075,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2628303390321646,pocketxmol,0.0,,,0.1839812373225152
openforcefield/openff-interchange,80,25,17,117,Python,MIT,False,False,2020-05-15T22:32:52Z,2025-10-27T19:41:27Z,2025-10-29T18:47:35Z,7049,True,False,main,amber;forcefield;gromacs;interoperability;lammps;molecular-simulation;openmm,https://docs.openforcefield.org/projects/interchange,"A project (and object) for storing, manipulating, and converting molecular mechanics data.",https://github.com/openforcefield/openff-interchange,0,0,0.0,0,0,0.0012418760607691,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2627607939727615,openff-interchange,0.0,,,0.183932555780933
general-molecular-simulations/so3lr,135,16,4,10,Python,MIT,False,False,2024-10-05T08:17:30Z,2025-10-29T15:20:48Z,2025-10-24T13:32:08Z,16109,False,False,main,computational-chemistry;deep-learning;force-field;interatomic-potentials;jax;machine-learining;molecular-dynamics;quantum-chemistry,https://doi.org/10.1021/jacs.5c09558,SO3krates and Universal Pairwise Force Field for Molecular Simulation,https://github.com/general-molecular-simulations/so3lr,0,0,0.0,5,0,0.0035186488388458,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2627454952035261,so3lr,0.0,,,0.1839218466424682
mehta-lab/VisCy,75,12,7,51,Python,BSD-3-Clause,False,False,2023-05-30T16:52:18Z,2025-10-29T00:56:30Z,2025-10-28T22:27:14Z,93472,True,False,main,bioimage-analysis;computer-vision;image-translation;machine-learning;representation-learning,https://pypi.org/project/viscy,computer vision models for single-cell phenotyping,https://github.com/mehta-lab/VisCy,0,0,0.0,1,0,0.0010348967173076,0.0,0.0,0.0,0.99906015037594,1.0,0.0,ml,1.05,0.2626186441001082,viscy,0.0,,,0.1838330508700757
open2c/pairtools,116,36,9,52,Python,MIT,False,False,2017-02-23T06:17:43Z,2025-10-22T12:58:42Z,2025-10-24T12:54:02Z,3285,True,False,master,3d-genome;bioinformatics;file-formatter;hi-c;ngs;pairs-file;python,,Extract 3D contacts (.pairs) from sequencing alignments,https://github.com/open2c/pairtools,0,0,0.0,5,0,0.002732127333692,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2625803256874437,pairtools,0.0,,,0.1838062279812106
vitessce/vitessce-python,57,10,5,114,Python,MIT,False,False,2020-09-01T21:11:52Z,2025-10-29T17:13:57Z,2025-10-29T17:13:54Z,37089,False,True,main,data-visualization;hidivelab;ipywidget;jupyter-widget;jupyterlab-extension;kharchenkolab;single-cell;vitessce,https://python-docs.vitessce.io,Python API and Jupyter widget for Vitessce,https://github.com/vitessce/vitessce-python,0,0,0.0,0,0,0.0002897710808461,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2625608519269777,vitessce-python,0.0,,,0.1837925963488843
shuaigroup/Renormalizer,62,19,9,6,Python,Apache-2.0,False,False,2017-05-08T16:47:26Z,2025-10-27T14:12:00Z,2025-10-27T14:16:08Z,35982,True,True,master,ab-initio;chemistry;dmrg;dynamics;electron-phonon;gpu;matrix-product-states;mobility;physics;python;quantum;quantum-dynamics;spectra;temperature;tensor-networks;tree-tensor-networks,https://shuaigroup.github.io/Renormalizer/,Quantum dynamics package based on tensor network states,https://github.com/shuaigroup/Renormalizer,0,0,0.0,2,0,0.0004967504243076,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,ml,1.05,0.2624069491680519,renormalizer,0.0,,,0.1836848644176363
chn-lee-yumi/MaterialSearch,1715,195,11,7,Python,GPL-3.0,False,False,2023-03-16T11:33:21Z,2025-10-29T02:30:15Z,2025-10-13T12:54:21Z,5252,True,False,main,,,Semantic search. Search local photos and videos through natural language. AI语义搜索本地素材。以图搜图、查找本地素材、根据文字描述匹配画面、视频帧搜索、根据画面描述搜索视频。,https://github.com/chn-lee-yumi/MaterialSearch,0,0,0.0,16,0,0.068924121372687,0.0,0.0,0.0,0.9849624060150376,1.0,0.0,bio,1.0,0.2622810648760411,materialsearch,0.0,,,0.1835967454132287
graeter-group/grappa,54,4,4,6,Python,GPL-3.0,False,False,2023-07-07T14:27:49Z,2025-10-22T11:15:14Z,2025-10-22T08:16:25Z,27761,False,False,main,,https://pubs.rsc.org/en/content/articlepdf/2025/sc/d4sc05465b,A machine learned Molecular Mechanics force field with integration into GROMACS and OpenMM,https://github.com/graeter-group/grappa,0,0,0.0,7,0,0.0001655834747692,0.0,0.0,0.0,0.993421052631579,1.0,0.0,ml,1.05,0.2618439830560173,grappa,0.0,,,0.1832907881392121
kundajelab/bpnet,167,36,12,0,Python,MIT,False,False,2019-07-26T23:10:04Z,2025-10-19T08:18:44Z,2025-10-10T05:23:05Z,10678,True,False,master,,,Toolkit to train base-resolution deep neural networks on functional genomics data and to interpret them,https://github.com/kundajelab/bpnet,0,0,,19,0,0.0048433166369996,0.0,0.0,0.0,0.9821428571428572,1.0,0.0,ml,1.05,0.2616420964937699,bpnet,0.0,,,0.1831494675456389
tjiangHIT/cuteSV,273,38,5,49,Python,MIT,False,False,2018-09-11T08:26:12Z,2025-09-30T10:14:36Z,2025-09-30T10:14:32Z,3186,True,False,master,oxford-nanopore;pacbio-data;structural-variation,,Long read based human genomic structural variation detection with cuteSV,https://github.com/tjiangHIT/cuteSV,0,0,0.0,29,0,0.0092312787183839,0.0,0.0,0.0,0.9727443609022556,1.0,0.0,ml,1.05,0.2615767264255975,cutesv,0.0,,,0.1831037084979182
