repo,description,language,license,stars,forks,watchers,open_issues,closed_issues,issue_resolution_rate,closed_issues_last_window,open_created_last_window,issue_resolution_rate_last_window,created_at,updated_at,pushed_at,days_since_last_update,commits_last_180_days,contributors_count,archived,scraped_at,commits_window,contributors,popularity_raw,stars_n,commits_n,contributors_n,issues_n,staleness_n,composite_score
google/deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,Python,BSD-3-Clause,3532,763,155,8,951,0.9916579770594368,61,6,0.9104477611940298,2017-11-23T01:56:22Z,2025-10-23T15:47:31Z,2025-10-21T03:35:02Z,2,31,41,False,2025-10-24T02:58:01Z,31,41,2640.4999999999995,0.6380006899839917,0.4202441541612241,0.5436383061913952,0.9916579770594368,0.99933598937583,0.6491530830806513
mdtraj/mdtraj,An open library for the analysis of molecular dynamics trajectories,Python,LGPL-2.1,672,291,45,81,1017,0.9262295081967212,19,4,0.8260869565217391,2012-11-08T22:01:24Z,2025-10-23T14:32:09Z,2025-10-16T16:00:16Z,7,64,122,False,2025-10-24T02:51:42Z,64,122,533.1,0.3260058756126196,0.5061729735267848,0.7355066151290641,0.9262295081967212,0.997675962815405,0.6306233885781658
scikit-bio/scikit-bio,"scikit-bio: a community-driven Python library for bioinformatics, providing versatile data structures, algorithms and educational resources.",Python,BSD-3-Clause,982,284,52,246,818,0.768796992481203,14,7,0.6666666666666666,2013-12-13T16:24:41Z,2025-10-23T01:19:45Z,2025-10-23T01:19:41Z,1,70,98,False,2025-10-24T02:59:02Z,70,98,749.4,0.39729195729320044,0.5168790553083339,0.696746979627739,0.768796992481203,0.999667994687915,0.6180158463982903
sib-swiss/training-collection,Collection of bioinformatics training materials,Python,NOASSERTION,1067,189,44,1,67,0.9852941176470588,0,0,,2021-12-13T10:41:18Z,2025-10-21T14:28:28Z,2025-10-05T01:49:09Z,19,14,85,False,2025-10-24T02:58:34Z,14,85,789.0999999999999,0.4128965964088851,0.3283695867503886,0.6716102449458379,0.9852941176470588,0.9936918990703851,0.6003824145803753
biotite-dev/biotite,A comprehensive library for computational molecular biology,Python,BSD-3-Clause,876,125,18,41,190,0.8225108225108225,9,5,0.6428571428571429,2017-07-30T12:18:33Z,2025-10-23T03:40:51Z,2025-10-21T10:24:04Z,2,101,46,False,2025-10-24T02:51:37Z,101,46,639.9999999999999,0.3758227807595745,0.5608095488081455,0.5637226844952823,0.8225108225108225,0.99933598937583,0.5983989758299569
BradyAJohnston/MolecularNodes,"Toolbox for molecular animations in Blender, powered by Geometry Nodes.",Python,GPL-3.0,1091,101,19,75,390,0.8387096774193549,45,26,0.6338028169014085,2022-04-25T07:14:42Z,2025-10-23T02:26:31Z,2025-10-21T15:09:32Z,2,93,31,False,2025-10-24T02:51:33Z,93,31,785.8,0.4170780473254075,0.5509055295695716,0.4950810734871409,0.8387096774193549,0.99933598937583,0.5915062131460163
allenai/scispacy,A full spaCy pipeline and models for scientific/biomedical documents.,Python,Apache-2.0,1889,246,45,38,293,0.8851963746223565,1,3,0.25,2018-09-24T21:45:52Z,2025-10-23T12:13:17Z,2025-10-01T06:18:20Z,22,11,38,False,2025-10-24T02:58:07Z,11,38,1376.0,0.5202948714819021,0.3013119067630538,0.5304053827096243,0.8851963746223565,0.9926958831341302,0.5700520847454115
scverse/anndata,Annotated data.,Python,BSD-3-Clause,667,175,13,272,609,0.6912599318955732,29,24,0.5471698113207547,2017-08-11T14:10:06Z,2025-10-23T17:54:19Z,2025-10-23T17:54:15Z,0,82,55,False,2025-10-24T03:00:07Z,82,55,503.2,0.32460275540754374,0.535814610714168,0.5950076088614924,0.6912599318955732,1.0,0.5675452335301371
Quantum-Accelerators/quacc,quacc is a flexible platform for computational materials science and quantum chemistry that is built for the big data era.,Python,BSD-3-Clause,227,62,4,34,403,0.9221967963386728,9,2,0.8181818181818182,2021-12-18T20:57:31Z,2025-10-20T23:43:36Z,2025-10-20T23:44:39Z,3,271,29,False,2025-10-24T02:55:56Z,271,29,171.7,0.12234420245003903,0.6797417962063159,0.48355689751767017,0.9221967963386728,0.999003984063745,0.5596406419006817
MolecularAI/REINVENT4,"AI molecular design tool for de novo design, scaffold hopping, R-group replacement, linker design and molecule optimization.",Python,Apache-2.0,587,172,20,1,170,0.9941520467836256,32,0,1.0,2023-10-20T06:43:16Z,2025-10-23T08:48:38Z,2025-10-22T06:08:39Z,1,56,15,False,2025-10-24T02:52:31Z,56,15,447.29999999999995,0.3006011480276264,0.4902475860636225,0.37131080511535564,0.9941520467836256,0.999667994687915,0.5396294912879864
MolSSI/QCFractal,A distributed compute and database platform for quantum chemistry. ,Python,BSD-3-Clause,155,52,15,38,275,0.8785942492012779,3,4,0.4285714285714285,2017-01-19T20:28:18Z,2025-10-23T14:02:24Z,2025-10-23T20:24:22Z,0,168,30,False,2025-10-24T02:56:56Z,168,30,120.4,0.05094036590521518,0.6220352637499208,0.4894119385313065,0.8785942492012779,1.0,0.5223860294268023
materialsproject/atomate2,atomate2 is a library of computational materials science workflows ,Python,NOASSERTION,248,127,7,71,189,0.7269230769230769,32,9,0.7804878048780488,2020-10-22T17:40:19Z,2025-10-22T06:59:09Z,2025-10-20T07:15:02Z,3,71,53,False,2025-10-24T02:55:50Z,71,53,199.7,0.1389222498270665,0.5185749826938628,0.58851370222042,0.7269230769230769,0.999003984063745,0.5204415936301734
log2timeline/dftimewolf,"A framework for orchestrating forensic collection, processing and data export",Python,Apache-2.0,331,75,24,41,136,0.768361581920904,0,1,0.0,2016-07-29T13:54:45Z,2025-10-24T02:18:02Z,2025-10-16T04:27:01Z,7,37,45,False,2025-10-24T02:54:57Z,37,45,249.1,0.1930518030568424,0.44108217179730314,0.5598824772975742,0.768361581920904,0.997675962815405,0.5135259466076061
tanghaibao/jcvi,"Python library to facilitate genome assembly, annotation, and comparative genomics",Python,BSD-2-Clause,865,194,34,53,479,0.900375939849624,17,5,0.7727272727272727,2010-12-01T23:18:02Z,2025-10-24T01:58:40Z,2025-08-24T05:16:57Z,60,9,26,False,2025-10-24T02:59:07Z,9,26,647.6999999999999,0.37344784042482365,0.27920417248406926,0.46474343384863476,0.900375939849624,0.9800796812749004,0.5124132207943155
owkin/PyDESeq2,A Python implementation of the DESeq2 pipeline for bulk RNA-seq DEA.,Python,MIT,684,79,9,46,118,0.7195121951219512,7,4,0.6363636363636364,2022-11-22T17:14:11Z,2025-10-22T00:12:46Z,2025-10-21T07:39:28Z,2,26,27,False,2025-10-24T03:00:05Z,26,27,495.49999999999994,0.32933127965088516,0.39964273529569255,0.47123734048970706,0.7195121951219512,0.99933598937583,0.5079132670649469
CGATOxford/UMI-tools,Tools for handling Unique Molecular Identifiers in NGS data sets,Python,MIT,526,197,33,26,493,0.9499036608863198,5,4,0.5555555555555556,2015-03-06T15:10:20Z,2025-10-15T04:46:30Z,2025-07-10T11:04:06Z,105,6,41,False,2025-10-24T02:52:36Z,6,41,410.90000000000003,0.2799929293313833,0.23595489893008942,0.5436383061913952,0.9499036608863198,0.9651394422310757,0.5038960269692725
SMTG-Bham/doped,"doped is a Python software for the generation, pre-/post-processing and analysis of defect supercell calculations, implementing the defect simulation workflow in an efficient, reproducible, user-friendly yet powerful and fully-customisable manner.",Python,MIT,218,36,15,7,79,0.9186046511627908,22,2,0.9166666666666666,2020-05-19T10:29:58Z,2025-10-24T01:18:12Z,2025-10-20T16:40:23Z,3,199,10,False,2025-10-24T02:56:00Z,199,10,161.29999999999998,0.11476636435752754,0.6424571758003833,0.30440451148079245,0.9186046511627908,0.999003984063745,0.503098108990469
u3dreal/molecular-plus,particle solver for Blender 3.0+ / 4.0+,Python,GPL-3.0,332,21,18,5,53,0.913793103448276,5,0,1.0,2021-02-09T20:17:56Z,2025-10-19T11:54:48Z,2025-10-19T11:54:45Z,4,75,8,False,2025-10-24T02:53:46Z,75,8,238.39999999999998,0.1936176908444742,0.5251310026295479,0.26857219977516145,0.913793103448276,0.99867197875166,0.48376638670470334
zerothi/sisl,Electronic structure Python package for post analysis and large scale tight-binding DFT/NEGF calculations,Python,MPL-2.0,216,64,15,100,431,0.8116760828625236,17,6,0.7391304347826086,2015-06-30T14:38:56Z,2025-10-16T11:05:18Z,2025-10-13T20:18:02Z,10,121,11,False,2025-10-24T02:56:02Z,121,11,165.5,0.11304013621702634,0.582520370027546,0.31994150244525854,0.8116760828625236,0.9966799468791501,0.47529490928975127
MolSSI/cookiecutter-cms,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,Python,MIT,439,92,24,29,69,0.7040816326530612,1,2,0.3333333333333333,2018-03-15T14:52:43Z,2025-10-21T22:20:04Z,2025-09-05T01:15:45Z,49,16,24,False,2025-10-24T02:52:43Z,16,24,328.0999999999999,0.24604444921699242,0.3435464728773366,0.4510010585166084,0.7040816326530612,0.9837317397078353,0.46413341402147706
kblin/ncbi-genome-download,Scripts to download genomes from the NCBI FTP servers,Python,Apache-2.0,1040,179,32,45,103,0.6959459459459459,2,1,0.6666666666666666,2016-05-03T07:44:11Z,2025-10-22T05:45:27Z,2025-07-28T06:42:46Z,87,5,20,False,2025-10-24T02:58:35Z,5,20,767.0,0.40807864348360223,0.21726307593080899,0.41986803781960996,0.6959459459459459,0.9711155378486056,0.46280588498525776
deeptools/deepTools,Tools to process and analyze deep sequencing data.,Python,NOASSERTION,741,218,37,178,815,0.8207452165156093,3,14,0.1764705882352941,2013-07-08T12:30:28Z,2025-10-20T09:16:08Z,2025-07-23T08:37:22Z,92,0,52,False,2025-10-24T02:59:14Z,0,52,566.0,0.34437078861339204,0.0,0.5851759835017399,0.8207452165156093,0.9694555112881806,0.4524440266349425
moshi4/pyCirclize,"Circular visualization in Python (Circos Plot, Chord Diagram, Radar Chart)",Python,MIT,981,54,8,4,59,0.9365079365079364,7,1,0.875,2022-12-17T09:21:45Z,2025-10-23T17:16:36Z,2025-10-03T18:12:45Z,20,36,1,False,2025-10-24T02:59:04Z,36,1,698.2999999999998,0.3971004483224073,0.437848464656216,0.0,0.9365079365079364,0.9933598937583001,0.4485494080966763
ParmEd/ParmEd,Parameter/topology editor and molecular simulator,Python,,439,163,30,211,502,0.7040673211781207,1,11,0.0833333333333333,2014-03-01T04:37:42Z,2025-10-20T02:29:25Z,2025-08-27T17:25:35Z,57,1,72,False,2025-10-24T02:52:41Z,1,72,342.9,0.24604444921699242,0.08404883083224482,0.6423459784550616,0.7040673211781207,0.9810756972111554,0.44682748252390836
pschwllr/MolecularTransformer,,Python,NOASSERTION,393,79,8,1,20,0.9523809523809524,0,1,0.0,2018-11-01T13:27:52Z,2025-10-16T18:58:50Z,2022-04-18T16:52:27Z,1284,0,119,False,2025-10-24T02:53:34Z,0,119,291.7,0.22526737450235546,0.0,0.7310974342612406,0.9523809523809524,0.5737051792828685,0.4393188629763287
dib-lab/khmer,"In-memory nucleotide sequence k-mer counting, filtering, graph traversal and more",Python,NOASSERTION,782,297,67,353,724,0.6722376973073352,0,0,,2012-05-15T03:52:53Z,2025-10-22T15:02:02Z,2024-02-17T11:37:33Z,614,0,89,False,2025-10-24T02:59:10Z,0,89,613.5,0.35449055119600675,0.0,0.6797281315911435,0.6722376973073352,0.796148738379814,0.4390051991308692
ysig/GraKeL,A scikit-learn compatible library for graph kernels,Python,NOASSERTION,628,103,7,13,83,0.8645833333333334,1,0,1.0,2017-10-31T13:05:27Z,2025-10-01T13:50:00Z,2025-07-26T07:48:28Z,89,1,24,False,2025-10-24T03:00:14Z,1,24,460.9,0.313283777466816,0.08404883083224482,0.4510010585166084,0.8645833333333334,0.9704515272244356,0.43881606942636087
yongliang-wu/DFT,[Preprint] On the Generalization of SFT: A Reinforcement Learning Perspective with Reward Rectification.,Python,,479,19,4,1,25,0.9615384615384616,25,1,0.9615384615384616,2025-08-01T02:17:21Z,2025-10-23T13:44:32Z,2025-10-20T03:58:13Z,3,26,2,False,2025-10-24T02:54:51Z,26,2,339.49999999999994,0.2624162965212617,0.39964273529569255,0.07240096570168814,0.9615384615384616,0.999003984063745,0.4277461670168043
romerogroup/pyprocar,A Python library for electronic structure pre/post-processing,Python,GPL-3.0,190,81,17,119,47,0.2831325301204819,8,19,0.2962962962962963,2018-03-25T15:27:01Z,2025-09-22T17:08:38Z,2025-10-22T12:18:10Z,1,192,19,False,2025-10-24T02:56:51Z,192,19,150.89999999999998,0.08902673138600711,0.6381371371264316,0.41115593181598203,0.2831325301204819,0.999667994687915,0.427016629068969
chapmanb/bcbb,"Incubator for useful bioinformatics code, primarily in Python and R",Python,,631,242,55,19,62,0.7654320987654321,0,0,,2008-12-09T21:05:22Z,2025-10-22T16:25:18Z,2025-02-05T14:20:51Z,260,0,36,False,2025-10-24T03:00:12Z,0,36,495.6,0.31417905693969167,0.0,0.5210051727624097,0.7654320987654321,0.9136786188579017,0.4149787341261303
MolSSI/QCEngine,Quantum chemistry program executor and IO standardizer (QCSchema).,Python,BSD-3-Clause,191,84,13,62,74,0.5441176470588235,0,3,0.0,2018-03-01T22:25:35Z,2025-10-16T14:32:11Z,2025-07-31T22:14:41Z,84,5,52,False,2025-10-24T02:56:48Z,5,52,151.8,0.09000927955900122,0.21726307593080899,0.5851759835017399,0.5441176470588235,0.9721115537848606,0.4019408871851971
molmod/psiflow,scalable molecular simulation,Python,MIT,137,15,3,13,46,0.7796610169491526,3,5,0.375,2022-11-18T09:57:59Z,2025-09-29T12:18:22Z,2025-10-13T09:05:46Z,10,56,5,False,2025-10-24T02:57:02Z,56,5,99.19999999999999,0.027871813655045454,0.4902475860636225,0.1961712340734733,0.7796610169491526,0.9966799468791501,0.3951898056783232
datamol-io/datamol,Molecular Processing Made Easy.,Python,Apache-2.0,514,55,14,13,101,0.8859649122807017,1,2,0.3333333333333333,2021-02-23T15:39:33Z,2025-10-18T06:20:12Z,2024-06-10T19:22:38Z,500,0,22,False,2025-10-24T02:52:38Z,0,22,372.19999999999993,0.27565897463534694,0.0,0.436112208925789,0.8859649122807017,0.8339973439575034,0.39423726712813956
gcorso/DiffDock,"Implementation of DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",Python,MIT,1348,319,20,129,130,0.5019305019305019,0,7,0.0,2022-10-04T16:42:00Z,2025-10-23T11:23:55Z,2025-05-02T13:59:19Z,174,1,11,False,2025-10-24T02:51:31Z,1,11,1009.3999999999999,0.45684565300952157,0.08404883083224482,0.31994150244525854,0.5019305019305019,0.9422310756972112,0.3847216794310527
plotly/dash-cytoscape,"Interactive network visualization in Python and Dash, powered by Cytoscape.js",Python,MIT,653,124,26,68,55,0.4471544715447154,0,0,,2018-08-06T18:47:06Z,2025-10-22T16:28:52Z,2025-08-09T18:56:08Z,75,1,27,False,2025-10-24T03:00:11Z,1,27,484.5,0.32061742386975045,0.08404883083224482,0.47123734048970706,0.4471544715447154,0.9750996015936255,0.38355902968899547
lightaime/deep_gcns_torch,"Pytorch Repo for DeepGCNs (ICCV'2019 Oral, TPAMI'2021), DeeperGCN (arXiv'2020) and GNN1000(ICML'2021): https://www.deepgcns.org",Python,MIT,1180,155,14,6,54,0.9,0,0,,2019-07-30T19:44:00Z,2025-10-23T07:06:54Z,2022-07-31T21:01:32Z,1180,0,9,False,2025-10-24T02:58:32Z,0,9,858.4,0.4318203153405638,0.0,0.28738566344419686,0.9,0.6082337317397079,0.37562486787016097
microsoft/Graphormer,Graphormer is a general-purpose deep learning backbone for molecular modeling.,Python,MIT,2358,366,28,97,68,0.4121212121212121,0,1,0.0,2021-05-27T05:31:18Z,2025-10-22T16:06:55Z,2024-06-07T17:01:35Z,503,0,14,False,2025-10-24T02:51:24Z,0,14,1726.6,0.5620020562418442,0.0,0.35978662914588494,0.4121212121212121,0.8330013280212484,0.37556548596723893
dmis-lab/biobert,Bioinformatics'2020: BioBERT: a pre-trained biomedical language representation model for biomedical text mining,Python,NOASSERTION,2157,478,61,57,121,0.6797752808988764,0,0,,2019-01-24T18:27:35Z,2025-10-23T04:53:59Z,2023-08-13T21:11:54Z,802,0,7,False,2025-10-24T02:58:05Z,0,7,1611.5999999999997,0.545245510181876,0.0,0.2475405367435704,0.6797752808988764,0.7337317397078353,0.37353597783697656
MolSSI-BSE/basis_set_exchange,A repository for quantum chemistry basis sets,Python,BSD-3-Clause,184,54,15,97,125,0.5630630630630631,2,6,0.25,2017-12-04T19:56:23Z,2025-09-16T16:11:53Z,2025-07-23T19:26:27Z,92,10,17,False,2025-10-24T02:56:53Z,10,17,141.1,0.08302119348746695,0.29076118289056513,0.3923424681469466,0.5630630630630631,0.9694555112881806,0.37293622171952223
applied-bioinformatics/An-Introduction-To-Applied-Bioinformatics,Interactive lessons in bioinformatics.,Python,NOASSERTION,861,314,73,44,94,0.6811594202898551,0,0,,2014-01-16T15:20:11Z,2025-10-23T19:43:06Z,2021-07-19T17:08:21Z,1557,0,33,True,2025-10-24T02:59:09Z,0,33,672.7999999999998,0.37257673911170114,0.0,0.5059063728212543,0.6811594202898551,0.48306772908366535,0.3701014639350837
awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology,Python,Apache-2.0,775,160,14,32,57,0.6404494382022472,0,1,0.0,2020-04-23T07:14:21Z,2025-10-24T02:39:51Z,2023-11-01T19:32:07Z,722,0,22,False,2025-10-24T02:59:12Z,0,22,575.9,0.3528008633393857,0.0,0.436112208925789,0.6404494382022472,0.7602921646746348,0.3693249002640942
Edinburgh-Genome-Foundry/DnaFeaturesViewer,:eye: Python library to plot DNA sequence features (e.g. from Genbank files),Python,MIT,659,102,16,36,44,0.55,1,0,1.0,2016-09-20T16:57:39Z,2025-10-20T14:14:18Z,2025-07-02T16:52:15Z,113,3,8,False,2025-10-24T03:00:09Z,3,8,483.29999999999995,0.32233576958015636,0.16809766166448964,0.26857219977516145,0.55,0.9624833997343958,0.36849974772839145
MolSSI/QCElemental,"Periodic table, physical constants, and molecule parsing for quantum chemistry.",Python,BSD-3-Clause,176,72,8,53,51,0.4903846153846153,0,2,0.0,2018-08-31T17:37:37Z,2025-10-20T15:59:19Z,2025-10-07T07:40:41Z,16,3,39,False,2025-10-24T02:56:54Z,3,39,138.4,0.07470348353456897,0.16809766166448964,0.5349262001877673,0.4903846153846153,0.9946879150066401,0.36745832015506275
molecularsets/moses,Molecular Sets (MOSES): A Benchmarking Platform for Molecular Generation Models,Python,MIT,933,263,33,31,32,0.5079365079365079,0,0,,2018-11-28T11:51:17Z,2025-10-23T09:48:16Z,2024-07-08T06:36:49Z,472,0,21,False,2025-10-24T02:51:35Z,0,21,708.9999999999999,0.387670957263235,0.0,0.4281747798525777,0.5079365079365079,0.8432934926958832,0.3644812597390177
BioPandas/biopandas,Working with molecular structures in pandas DataFrames,Python,BSD-3-Clause,739,117,15,25,38,0.6031746031746031,0,0,,2015-11-21T00:00:14Z,2025-09-21T03:08:21Z,2024-08-01T17:34:27Z,448,0,18,False,2025-10-24T02:51:39Z,0,18,542.1999999999999,0.34386294067334666,0.0,0.4019968599910176,0.6031746031746031,0.851261620185923,0.36206730266087384
usnistgov/jarvis,About JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications: https://scholar.google.com/citations?user=3w6ej94AAAAJ https://www.youtube.com/@dr_k_choudhary,Python,NOASSERTION,357,131,22,49,45,0.4787234042553192,0,0,,2017-06-22T19:34:02Z,2025-10-22T09:50:47Z,2025-08-25T15:23:20Z,59,2,16,False,2025-10-24T02:54:54Z,2,16,278.29999999999995,0.2072385091176287,0.1332142450985642,0.38213610444946905,0.4787234042553192,0.9804116865869854,0.35049689396341194
torchmd/torchmd,End-To-End Molecular Dynamics (MD) Engine using PyTorch,Python,MIT,664,84,14,10,21,0.6774193548387096,0,0,,2020-02-12T14:00:42Z,2025-10-22T17:20:29Z,2025-01-16T09:41:37Z,280,0,7,False,2025-10-24T02:52:29Z,0,7,482.99999999999994,0.32375583328344815,0.0,0.2475405367435704,0.6774193548387096,0.9070385126162018,0.3351408469941813
AIRI-Institute/nablaDFT,nablaDFT: Large-Scale Conformational Energy and Hamiltonian Prediction benchmark and dataset,Python,MIT,223,24,3,3,23,0.8846153846153846,5,0,1.0,2022-08-18T15:46:09Z,2025-10-23T11:56:07Z,2025-03-20T15:08:30Z,217,0,9,False,2025-10-24T02:55:58Z,0,9,161.20000000000002,0.11901389343014986,0.0,0.28738566344419686,0.8846153846153846,0.9279548472775564,0.32708768163865
materialsvirtuallab/m3gnet,Materials graph network with 3-body interactions featuring a DFT surrogate crystal relaxer and a state-of-the-art property predictor.,Python,BSD-3-Clause,299,70,10,15,20,0.5714285714285714,0,0,,2022-01-18T18:10:58Z,2025-10-23T16:45:17Z,2025-04-07T22:52:21Z,199,0,16,True,2025-10-24T02:55:00Z,0,16,224.29999999999998,0.17398156629764244,0.0,0.38213610444946905,0.5714285714285714,0.9339309428950864,0.31813679769057224
jkitchin/dft-book,"A book on modeling materials using VASP, ase and vasp",Python,,406,146,42,1,6,0.8571428571428571,0,0,,2012-07-13T16:31:52Z,2025-10-23T21:23:19Z,2024-08-01T18:26:18Z,448,0,4,False,2025-10-24T02:54:53Z,0,4,317.59999999999997,0.23137539676998084,0.0,0.1636153950724116,0.8571428571428571,0.851261620185923,0.312445288550619
gamcil/clinker,Gene cluster comparison figure generator,Python,MIT,620,74,15,46,50,0.5208333333333334,0,2,0.0,2019-06-21T03:11:36Z,2025-10-22T03:21:18Z,2024-11-25T03:28:52Z,332,0,7,False,2025-10-24T03:00:16Z,0,7,450.3,0.310875327974313,0.0,0.2475405367435704,0.5208333333333334,0.8897742363877822,0.30670638981824905
theochem/tinydft,A minimalistic atomic Density Functional Theory (DFT) code,Python,GPL-3.0,140,29,8,1,3,0.75,1,0,1.0,2019-05-16T10:49:35Z,2025-10-08T10:24:34Z,2025-10-20T23:11:46Z,3,8,2,False,2025-10-24T02:57:00Z,8,2,104.6,0.03191836848676422,0.2664284901971284,0.07240096570168814,0.75,0.999003984063745,0.3050873545027697
zh217/torch-dct,DCT (discrete cosine transform) functions for pytorch,Python,MIT,633,74,4,8,15,0.6521739130434783,0,1,0.0,2018-09-20T16:38:15Z,2025-10-20T04:23:18Z,2022-11-06T16:09:00Z,1082,0,6,False,2025-10-24T02:54:50Z,0,6,458.29999999999995,0.3147735520552983,0.0,0.22369680374613665,0.6521739130434783,0.6407702523240372,0.2965207011392842
quantumlib/OpenFermion-Cirq,Quantum circuits for simulations of quantum chemistry and materials.,Python,Apache-2.0,283,89,38,31,99,0.7615384615384615,0,0,,2018-03-20T00:58:53Z,2025-10-05T21:11:10Z,2020-12-22T00:30:11Z,1767,0,17,True,2025-10-24T02:55:45Z,0,17,219.70000000000002,0.1636689829326042,0.0,0.3923424681469466,0.7615384615384615,0.4133466135458167,0.29456829335523865
