full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,topics,license,pushed_at,created_at,updated_at,default_branch
rxn4chemistry/rxnmapper,https://github.com/rxn4chemistry/rxnmapper,"RXNMapper: Unsupervised attention-guided atom-mapping. Code complementing our Science Advances publication on ""Extraction of organic chemistry grammar from unsupervised learning of chemical reactions"" (https://advances.sciencemag.org/content/7/15/eabe4166). ",Python,330,73,3,False,atom-mapping;chemistry;reactions;rxn;smiles;transformer,MIT,2025-07-27T13:14:04Z,2020-05-13T19:01:05Z,2025-10-04T11:06:16Z,main
forlilab/Meeko,https://github.com/forlilab/Meeko,"Interface for AutoDock, molecule parameterization",Python,307,64,55,False,chemistry;drug-design;drug-discovery;drug-target-interactions;molecular-modeling,LGPL-2.1,2025-10-23T00:12:59Z,2020-11-07T12:05:36Z,2025-10-28T15:33:11Z,release
scikit-fingerprints/scikit-fingerprints,https://github.com/scikit-fingerprints/scikit-fingerprints,Scikit-learn compatible library for molecular fingerprints and chemoinformatics,Python,275,20,12,False,bioinformatics;chemical-data;chemical-toolbox;cheminformatics;chemistry;chemoinformatics;machine-learning;python;scikit-learn,MIT,2025-10-28T21:05:02Z,2023-04-11T19:35:33Z,2025-10-28T16:25:25Z,master
lukasturcani/stk,https://github.com/lukasturcani/stk,"A Python library which allows construction and manipulation of complex molecules, as well as automatic molecular design and the creation of molecular databases.",Python,274,51,66,False,cheminformatics;chemistry;computational-chemistry;computational-science;materials-design;materials-discoveries;materials-science;materials-screening;molecular-evolution;molecular-modeling;molecular-structures;reactions,MIT,2025-10-08T17:07:31Z,2018-03-18T20:57:46Z,2025-10-25T19:26:03Z,master
gcorso/torsional-diffusion,https://github.com/gcorso/torsional-diffusion,Implementation of Torsional Diffusion for Molecular Conformer Generation (NeurIPS 2022),Python,273,47,11,False,chemistry;conformer-generator;equivariance;geometry;machine-learning;molecules;neurips-2022;torsion-angles,MIT,2024-02-10T12:42:10Z,2022-06-01T03:03:15Z,2025-10-28T13:36:40Z,master
bp-kelley/descriptastorus,https://github.com/bp-kelley/descriptastorus,Descriptor computation(chemistry) and (optional) storage for machine learning,Python,270,68,3,False,,NOASSERTION,2024-10-26T19:43:46Z,2018-12-17T16:56:09Z,2025-10-10T17:53:25Z,master
GeoPyTool/GeoPyTool,https://github.com/GeoPyTool/GeoPyTool,An application based on Python and designed as a solution for geology related daily work.,Python,266,62,3,False,chemistry;cugb;geochemistry;geology;python;sedim;sedimentary;structual,GPL-3.0,2025-08-15T07:13:03Z,2016-07-08T05:22:00Z,2025-10-22T16:27:13Z,master
lmmentel/mendeleev,https://github.com/lmmentel/mendeleev,"A python package for accessing various properties of elements, ions and isotopes in the periodic table of elements.",Python,264,49,3,False,chemistry;electronegativity;electronegativity-scales;elements;ions;isotope-properties;isotopes;mendeleev;periodic-table;periodic-tables;physical-properties,MIT,2025-09-16T19:55:52Z,2019-08-25T13:12:03Z,2025-10-26T20:26:55Z,master
thomas0809/MolScribe,https://github.com/thomas0809/MolScribe,Robust Molecular Structure Recognition with Image-to-Graph Generation,Python,239,54,19,False,chemistry;deep-learning;molecule,MIT,2025-01-09T18:36:51Z,2022-11-10T05:07:55Z,2025-10-27T03:01:15Z,main
Quantum-Accelerators/quacc,https://github.com/Quantum-Accelerators/quacc,quacc is a flexible platform for computational materials science and quantum chemistry that is built for the big data era.,Python,227,62,33,False,chemistry;computational-materials-science;database;dft;high-throughput;hpc;python;quantum-chemistry;quantum-mechanics;workflow,BSD-3-Clause,2025-10-28T00:58:49Z,2021-12-18T20:57:31Z,2025-10-28T00:57:51Z,main
isayev/ASE_ANI,https://github.com/isayev/ASE_ANI,ANI-1 neural net potential with python interface (ASE),Python,224,55,18,False,cheminformatics;chemistry;deep-learning;force-field;neural-network;schrodinger-equation,MIT,2024-03-11T21:50:26Z,2016-12-08T05:09:32Z,2025-09-25T15:03:23Z,master
rxn4chemistry/rxn4chemistry,https://github.com/rxn4chemistry/rxn4chemistry,Python wrapper for the IBM RXN for Chemistry API,Python,222,33,11,False,,MIT,2025-09-24T08:47:58Z,2020-04-06T14:11:21Z,2025-10-28T19:49:11Z,main
ECSIM/opem,https://github.com/ECSIM/opem,OPEM (Open Source PEM Fuel Cell Simulation Tool),Python,220,59,1,False,chemistry;dynamic-analysis;electrochemistry;fuel-cell;opem;pem;physics;physics-simulation;python;script;simulation;simulator;static-analysis;static-analyzer,MIT,2025-10-28T06:24:59Z,2017-12-16T15:42:52Z,2025-10-22T16:28:22Z,master
chemlab/chemlab,https://github.com/chemlab/chemlab,The chemistry library you were waiting for,Python,217,47,12,False,chemistry;molecular-dynamics;molecular-graphics;physics;python,GPL-3.0,2023-06-08T17:25:18Z,2012-02-06T15:14:56Z,2025-10-22T16:25:29Z,master
Fung-Lab/MatDeepLearn,https://github.com/Fung-Lab/MatDeepLearn,"MatDeepLearn, package for graph neural networks in materials chemistry",Python,198,42,10,False,,,2023-03-20T06:38:32Z,2020-10-16T15:58:47Z,2025-10-26T18:16:20Z,main
MolSSI/QCEngine,https://github.com/MolSSI/QCEngine,Quantum chemistry program executor and IO standardizer (QCSchema).,Python,191,84,62,False,chemistry;computational-chemistry;python3;quantum-chemistry;standards,BSD-3-Clause,2025-07-31T22:14:41Z,2018-03-01T22:25:35Z,2025-10-16T14:32:11Z,master
wigging/chemics,https://github.com/wigging/chemics,A Python package for chemical engineering,Python,185,16,2,False,biomass;chemical-engineering;chemistry;density;fluidization;pressure;python;thermal-conductivity;viscosity,MIT,2024-03-10T14:52:52Z,2018-09-27T20:26:24Z,2025-10-27T20:16:41Z,main
MolSSI-BSE/basis_set_exchange,https://github.com/MolSSI-BSE/basis_set_exchange,A repository for quantum chemistry basis sets,Python,184,54,98,False,,BSD-3-Clause,2025-07-23T19:26:27Z,2017-12-04T19:56:23Z,2025-09-16T16:11:53Z,master
MolSSI/QCElemental,https://github.com/MolSSI/QCElemental,"Periodic table, physical constants, and molecule parsing for quantum chemistry.",Python,176,72,53,False,chemistry;codata;computational-chemistry;nist;periodic-table;physical-constant;python;quantum-chemistry;standards,BSD-3-Clause,2025-10-07T07:40:41Z,2018-08-31T17:37:37Z,2025-10-20T15:59:19Z,master
giacomomarchioro/PyEnergyDiagrams,https://github.com/giacomomarchioro/PyEnergyDiagrams,This is a simple script to plot energy profile diagrams using Python and matplotlib.,Python,175,62,3,False,chemistry;diagrams;physics;plotting,MIT,2025-07-25T13:31:51Z,2017-01-24T08:38:09Z,2025-10-15T13:12:57Z,master
kilacoda/chanim,https://github.com/kilacoda/chanim,Animation engine for explanatory chemistry videos,Python,172,15,13,False,3b1b;chem;chemistry;manim;python,MIT,2023-12-08T16:13:26Z,2020-01-04T08:07:25Z,2025-10-22T16:30:04Z,master
materialsproject/matbench,https://github.com/materialsproject/matbench,Matbench: Benchmarks for materials science property prediction,Python,170,54,52,False,benchmark;chemistry;condensed-matter;data-science;machine-learning;machine-learning-algorithms;materials-science;physics,MIT,2024-08-20T17:26:52Z,2021-02-24T03:58:42Z,2025-10-17T07:50:39Z,main
BioSystemsUM/DeepMol,https://github.com/BioSystemsUM/DeepMol,DeepMol: A Machine and Deep Learning Framework for Computational Chemistry,Python,161,16,16,False,chemoinformatics;deep-learning;machine-learning,BSD-2-Clause,2025-10-10T10:28:06Z,2020-09-08T14:47:20Z,2025-10-23T06:54:49Z,master
Electrostatics/pdb2pqr,https://github.com/Electrostatics/pdb2pqr,"PDB2PQR - determining titration states, adding missing atoms, and assigning charges/radii to biomolecules.",Python,156,39,61,False,bioinformatics;biophysics;chemistry;hacktoberfest;help-wanted,NOASSERTION,2025-03-02T16:19:43Z,2020-06-29T17:49:20Z,2025-10-21T11:11:10Z,master
MolSSI/QCFractal,https://github.com/MolSSI/QCFractal,A distributed compute and database platform for quantum chemistry. ,Python,155,52,38,False,computational-chemistry;database-platform;distributed-computing;python;quantum-chemistry,BSD-3-Clause,2025-10-24T19:16:09Z,2017-01-19T20:28:18Z,2025-10-24T17:34:41Z,main
rpmuller/pyquante2,https://github.com/rpmuller/pyquante2,Python Quantum Chemistry Reloaded. This is a rewrite of the standard PyQuante program to clean up things that have been nagging me.,Python,155,63,4,False,,NOASSERTION,2024-04-02T02:43:01Z,2011-04-15T23:41:36Z,2025-05-20T08:23:53Z,master
derb12/pybaselines,https://github.com/derb12/pybaselines,A Python library of algorithms for the baseline correction of experimental data.,Python,155,19,1,False,background-removal;baseline-correction;baseline-removal;chemistry;ftir;materials-characterization;materials-science;python;raman;spectroscopy,BSD-3-Clause,2025-10-29T01:26:12Z,2021-03-22T22:41:04Z,2025-10-26T08:41:07Z,main
chembl/FPSim2,https://github.com/chembl/FPSim2,Simple package for fast molecular similarity searches,Python,154,22,2,False,cheminformatics;chemistry;gpu;python;similarity-search,MIT,2025-09-06T09:36:03Z,2018-10-25T16:41:26Z,2025-10-15T09:51:56Z,master
spectrochempy/spectrochempy,https://github.com/spectrochempy/spectrochempy,"SpectroChemPy is a framework for processing, analyzing and modeling spectroscopic data for chemistry with Python",Python,153,25,16,False,chemistry;data-analysis;datasets;ftir;ftir-data-analysis;infrared;nmr;nmr-data;nmr-spectroscopy;processing;python;raman;raman-spectra;raman-spectroscopy;spectroscopy;uv-vis,NOASSERTION,2025-10-27T00:03:18Z,2020-05-13T06:20:05Z,2025-10-22T16:30:27Z,master
morganjwilliams/pyrolite,https://github.com/morganjwilliams/pyrolite,A set of tools for getting the most from your geochemical data.,Python,150,44,14,False,chemistry;data-science;geochemical-data;geochemistry;geoscience;pyrolite;ternary-diagrams,NOASSERTION,2025-09-23T06:41:56Z,2018-06-13T06:31:12Z,2025-10-03T18:13:58Z,main
Future-House/ether0,https://github.com/Future-House/ether0,"A scientific reasoning model, dataset, and reward functions for chemistry.",Python,143,16,5,False,,Apache-2.0,2025-10-26T14:22:45Z,2025-05-19T22:47:14Z,2025-10-27T19:08:34Z,main
theochem/iodata,https://github.com/theochem/iodata,"Python library for reading, writing, and converting computational chemistry file formats and generating input files.",Python,137,49,36,False,computational-biology;computational-chemistry;computational-physics;data-parsing;file-conversion;file-converter;file-format-converter;file-format-library;file-formats;input-output;json-schema;molecular-dynamics;molecular-dynamics-simulation;molecular-electronic-structure;molecular-mechanics;molecular-simulation;quantum-chemistry;quantum-chemistry-packages;quantum-chemistry-programs;theoretical-chemistry,LGPL-3.0,2025-10-22T17:15:49Z,2017-08-13T16:24:39Z,2025-10-22T17:15:55Z,main
sandbox-quantum/Tangelo,https://github.com/sandbox-quantum/Tangelo,A python package for exploring end-to-end chemistry workflows on quantum computers and simulators.,Python,131,35,11,False,chemistry;drug-design;drug-discovery;ft;nisq;quantum;quantum-algorithms;quantum-chemistry;quantum-computing,NOASSERTION,2025-08-01T18:11:23Z,2021-03-04T19:19:12Z,2025-10-01T02:34:59Z,main
mcs07/CIRpy,https://github.com/mcs07/CIRpy,Python wrapper for the NCI Chemical Identifier Resolver (CIR),Python,127,28,7,False,cheminformatics;chemistry;python,MIT,2024-03-08T03:53:34Z,2012-03-20T12:25:17Z,2025-07-27T16:22:54Z,master
chao1224/Geom3D,https://github.com/chao1224/Geom3D,"Geom3D: Geometric Modeling on 3D Structures, NeurIPS 2023",Python,127,14,4,False,3d;3d-structures;ai4science;biology;chemistry;crystals;drugs;equivariance;geometry;group;invariance;material;molecules;physics;proteins;symmetry,MIT,2024-06-05T03:18:58Z,2023-06-07T17:27:56Z,2025-10-28T06:35:04Z,main
awesome-panel/panel-chemistry,https://github.com/awesome-panel/panel-chemistry,🧪📈 🐍. The purpose of the panel-chemistry project is to make it really easy for you  to do DATA ANALYSIS and build powerful DATA AND VIZ APPLICATIONS within the domain of Chemistry using using Python and HoloViz Panel.,Python,121,18,8,False,chemistry;data-science;dataexploration;datavisualization;molecule;panel;python,MIT,2023-11-25T04:49:39Z,2021-05-19T04:16:10Z,2025-10-12T02:04:19Z,main
lamalab-org/chembench,https://github.com/lamalab-org/chembench,How good are LLMs at chemistry?,Python,120,14,59,False,benchmark;chemistry;llm;llms;llms-benchmarking;machine-learning;materials-science;safety,MIT,2025-09-11T14:16:08Z,2023-05-16T08:18:26Z,2025-10-26T09:26:18Z,dev
zadorlab/sella,https://github.com/zadorlab/sella,A Python software package for saddle point optimization and minimization of atomic systems.,Python,120,28,13,False,chemistry;computational-chemistry;geometry-optimization;python;saddle-point;workflows,NOASSERTION,2025-09-17T18:09:35Z,2019-04-09T15:16:08Z,2025-10-15T13:49:58Z,master
materialsproject/reaction-network,https://github.com/materialsproject/reaction-network,Reaction Network is a Python package for predicting likely inorganic chemical reaction pathways using graph theoretical methods. Project led by @mattmcdermott (formerly at Berkeley Lab).,Python,117,25,6,False,chemistry;materials-science;python;reaction-network;reactions;simulation,NOASSERTION,2025-02-04T00:06:57Z,2019-07-12T15:03:27Z,2025-10-22T16:29:40Z,main
benstaf/ChemGAN-challenge,https://github.com/benstaf/ChemGAN-challenge,Code for the paper: ChemGAN challenge for drug discovery: can AI reproduce natural chemical diversity? arXiv preprint arXiv:1708.08227.,Python,115,55,1,False,artificial-intelligence;chemistry;deep-learning;drug-discovery;generative-adversarial-network;machine-learning;recurrent-neural-networks;reinforcement-learning,,2023-03-24T21:55:57Z,2017-08-28T10:54:18Z,2025-09-17T07:21:48Z,master
dralgroup/mlatom,https://github.com/dralgroup/mlatom,AI-enhanced computational chemistry,Python,113,16,4,False,artificial-intelligence;computational-chemistry;deep-learning;kernel-method;kernel-ridge-regression;machine-learning;machine-learning-potential;neural-network;quantum-chemistry;quantum-chemistry-programs;quantum-mechanics,NOASSERTION,2025-10-23T06:21:38Z,2023-08-16T13:47:48Z,2025-10-23T21:12:38Z,main
microsoft/molskill,https://github.com/microsoft/molskill,Extracting medicinal chemistry intuition via preference machine learning,Python,112,11,3,False,,MIT,2023-10-31T17:03:36Z,2023-01-12T13:48:31Z,2025-09-19T13:45:39Z,main
jla-gardner/graph-pes,https://github.com/jla-gardner/graph-pes,train and use graph-based ML models of potential energy surfaces,Python,110,9,5,False,chemistry;deep-learning;force-fields;framework;machine-learning,MIT,2025-10-07T11:01:43Z,2023-10-09T07:18:23Z,2025-10-23T05:01:40Z,main
Andrew-S-Rosen/periodic_trends,https://github.com/Andrew-S-Rosen/periodic_trends,Python script to plot periodic trends as a heat map over the periodic table of elements,Python,107,31,1,False,chemistry;python;visualization,MIT,2025-08-14T20:41:55Z,2017-02-25T15:39:50Z,2025-10-27T05:10:09Z,master
samirelanduk/atomium,https://github.com/samirelanduk/atomium,Python macromolecular parsing (with .pdb/.cif/.mmtf parsing and production),Python,106,19,15,False,biology;chemistry;molecules;proteins;structural-biology,MIT,2023-12-07T11:48:47Z,2016-05-04T00:11:12Z,2025-07-27T00:08:46Z,master
JaGeo/LobsterPy,https://github.com/JaGeo/LobsterPy,Package to perform automatic bonding analysis with the program Lobster in the field of computational materials science and quantum chemistry,Python,104,35,10,False,chemical-bonding;computational-chemistry;computational-materials-science;materials-informatics;plotting;python,BSD-3-Clause,2025-10-07T18:15:07Z,2021-03-01T10:58:23Z,2025-10-14T13:00:19Z,main
josejimenezluna/delfta,https://github.com/josejimenezluna/delfta,Δ-QML for medicinal chemistry,Python,103,17,2,False,deep-learning;machine-learning;pytorch;quantum-chemistry,AGPL-3.0,2025-05-05T15:45:16Z,2021-06-01T10:44:31Z,2025-10-24T20:31:45Z,master
Mishima-syk/psikit,https://github.com/Mishima-syk/psikit,psi4+RDKit,Python,102,22,15,False,cheminformatics;chemistry;chemoinformatics;psi;quantum-chemistry;rdkit,BSD-3-Clause,2025-05-13T10:28:43Z,2018-09-15T02:12:47Z,2025-08-17T08:49:48Z,master
MolSSI/QCSchema,https://github.com/MolSSI/QCSchema,A Schema for Quantum Chemistry,Python,101,38,38,False,quantum-chemistry;schema,BSD-3-Clause,2022-11-30T14:41:12Z,2017-06-09T15:16:04Z,2025-10-05T21:11:14Z,master
PyAbel/PyAbel,https://github.com/PyAbel/PyAbel,A python package for Abel and inverse Abel transforms,Python,101,42,25,False,chemistry;imaging;laser;math;physical-chemistry;physics;python,MIT,2025-10-26T21:41:24Z,2015-02-02T03:59:28Z,2025-10-26T21:41:29Z,master
muammar/ml4chem,https://github.com/muammar/ml4chem,ML4Chem:  Machine Learning for Chemistry and Materials,Python,100,15,8,False,chemistry;deeplearning;kernel;kernel-methods;machine-learning;materials-science;physics,NOASSERTION,2024-12-09T17:11:58Z,2018-12-14T22:28:22Z,2025-10-25T01:42:10Z,master
OSU-NLP-Group/LLM4Chem,https://github.com/OSU-NLP-Group/LLM4Chem,"Official code repo for the paper ""LlaSMol: Advancing Large Language Models for Chemistry with a Large-Scale, Comprehensive, High-Quality Instruction Tuning Dataset""",Python,97,17,0,False,ai4science;chemistry;llms;molecule,MIT,2025-06-09T05:13:02Z,2024-02-13T22:29:28Z,2025-10-21T20:31:10Z,main
jepegit/cellpy,https://github.com/jepegit/cellpy,extract and tweak data from electrochemical tests of cells,Python,94,32,33,False,battery;chemistry;data-analysis;electrochemistry;opensource;physics,MIT,2025-10-10T08:24:59Z,2015-12-17T11:33:35Z,2025-08-20T08:41:43Z,master
ashvardanian/USearchMolecules,https://github.com/ashvardanian/USearchMolecules,Searching for structural similarities across billions of molecules in milliseconds,Python,92,9,2,False,aws-s3;bioinformatics;biology;cheminformatics;chemistry;compchem;drug-discovery;open-data;opendata;vector-search;vector-search-engine,Apache-2.0,2025-10-28T10:19:44Z,2023-06-10T14:38:40Z,2025-10-28T10:19:47Z,main
RagnarB83/ash,https://github.com/RagnarB83/ash," ASH is a Python-based computational chemistry and QM/MM environment, primarily for molecular calculations in the gas phase, explicit solution, crystal or protein environment.",Python,91,20,54,False,dft;mm;multiscale;python;qm;qm-mm;quantum,GPL-2.0,2025-10-28T21:32:55Z,2020-01-22T19:04:48Z,2025-10-24T12:31:37Z,master
OpenDFM/ChemDFM,https://github.com/OpenDFM/ChemDFM,Open-sourced dialogue foundation model for Chemistry and molecule science,Python,89,10,1,False,,Apache-2.0,2025-05-06T07:10:47Z,2024-03-07T12:54:35Z,2025-10-26T14:15:57Z,main
scikit-learn-contrib/scikit-matter,https://github.com/scikit-learn-contrib/scikit-matter,A collection of scikit-learn compatible utilities that implement methods born out of the materials science and chemistry communities,Python,87,23,20,False,machine-learning;material-science;python;scikit-learn,BSD-3-Clause,2025-10-06T16:57:11Z,2020-10-12T19:23:26Z,2025-10-13T16:22:27Z,main
zotko/xyz2graph,https://github.com/zotko/xyz2graph,Convert an xyz file into a molecular graph and create a 3D visualisation of the graph.,Python,86,23,0,False,3d-plot;atomic-coordinates;chemical-structures;chemistry;chemoinformatics;computational-chemistry;data-visualization;molecular-graph;molecular-modeling;molecule;molecule-visualization;networkx;plotly;scientific-computing;xyz-files;xyz-reader,ISC,2025-08-18T20:23:07Z,2018-08-11T12:05:10Z,2025-09-12T07:15:28Z,main
MLMI2-CSSI/foundry,https://github.com/MLMI2-CSSI/foundry,Simplifying the discovery and usage of machine-learning ready datasets in materials science and chemistry,Python,85,18,35,False,chemistry;data-science;datasets;machine-learning;materials-science,MIT,2025-05-20T18:32:28Z,2020-01-24T20:24:53Z,2025-09-30T08:23:53Z,main
mcocdawc/chemcoord,https://github.com/mcocdawc/chemcoord,A python module for manipulating cartesian and internal coordinates.,Python,85,17,15,False,chemical;cheminformatics;chemistry;physics;physics-simulation;python;python-library;theoretical-spectroscopy,LGPL-3.0,2025-10-02T15:24:54Z,2016-01-13T14:26:07Z,2025-10-02T15:24:55Z,master
jjgoings/McMurchie-Davidson,https://github.com/jjgoings/McMurchie-Davidson,do a simple closed shell Hartree-Fock using McMurchie-Davidson to compute integrals,Python,83,18,3,False,chemistry;electronic-structure;hartree-fock;integrals;mcmurchie-davidson;quantum-chemistry;scf,BSD-3-Clause,2024-06-08T23:39:57Z,2017-02-10T23:13:26Z,2025-09-24T05:27:53Z,master
Vitens/phreeqpython,https://github.com/Vitens/phreeqpython,Object-oriented python wrapper for the VIPhreeqc module,Python,81,22,17,False,chemistry;phreeqc;python;treatment;water-quality,Apache-2.0,2025-06-04T07:41:03Z,2016-08-02T09:59:02Z,2025-09-23T20:35:39Z,master
