repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url
cclib/cclib,380,175,17,193,Python,BSD-3-Clause,False,False,2013-12-29T20:59:14Z,2025-10-29T19:36:40Z,2025-10-25T20:55:26Z,85697,False,True,master,computational-chemistry;hacktoberfest;python;quantum-chemistry,https://cclib.github.io/,Parsers and algorithms for computational chemistry logfiles,https://github.com/cclib/cclib
lightdock/lightdock,361,50,11,4,Python,GPL-3.0,False,False,2019-09-27T08:10:43Z,2025-10-28T22:49:33Z,2025-09-16T13:44:36Z,98293,True,False,master,artificial-intelligence;bioinformatics;bioinformatics-tool;chemistry;dna;docking;glowworm-swarm-optimization;molecular-biology;molecular-structures;peptides;protein;protein-design;protein-dna-interactions;protein-docking;protein-protein-interaction;protein-structure;proteomics;structural-bioinformatics;structural-biology;swarm-intelligence,https://lightdock.org/,"Protein-protein, protein-peptide and protein-DNA docking framework based on the GSO algorithm",https://github.com/lightdock/lightdock
mcs07/ChemDataExtractor,335,120,17,23,Python,MIT,False,False,2016-10-02T23:50:01Z,2025-10-28T06:34:06Z,2023-07-27T18:05:13Z,555,True,False,master,chemistry;information-extraction;natural-language-processing;nlp;python;text-mining,http://chemdataextractor.org,Automatically extract chemical information from scientific documents,https://github.com/mcs07/ChemDataExtractor
rxn4chemistry/rxnmapper,330,73,10,3,Python,MIT,False,False,2020-05-13T19:01:05Z,2025-10-04T11:06:16Z,2025-07-27T13:14:04Z,8842,True,True,main,atom-mapping;chemistry;reactions;rxn;smiles;transformer,http://rxnmapper.ai,"RXNMapper: Unsupervised attention-guided atom-mapping. Code complementing our Science Advances publication on ""Extraction of organic chemistry grammar from unsupervised learning of chemical reactions"" (https://advances.sciencemag.org/content/7/15/eabe4166).",https://github.com/rxn4chemistry/rxnmapper
forlilab/Meeko,307,64,11,55,Python,LGPL-2.1,False,False,2020-11-07T12:05:36Z,2025-10-28T15:33:11Z,2025-10-23T00:12:59Z,8153,True,False,release,chemistry;drug-design;drug-discovery;drug-target-interactions;molecular-modeling,https://meeko.readthedocs.io/,"Interface for AutoDock, molecule parameterization",https://github.com/forlilab/Meeko
scikit-fingerprints/scikit-fingerprints,275,20,1,11,Python,MIT,False,False,2023-04-11T19:35:33Z,2025-10-29T09:36:23Z,2025-10-29T09:36:21Z,4732,True,True,master,bioinformatics;chemical-data;chemical-toolbox;cheminformatics;chemistry;chemoinformatics;machine-learning;python;scikit-learn,https://scikit-fingerprints.readthedocs.io/latest/,Scikit-learn compatible library for molecular fingerprints and chemoinformatics,https://github.com/scikit-fingerprints/scikit-fingerprints
gcorso/torsional-diffusion,274,47,6,11,Python,MIT,False,False,2022-06-01T03:03:15Z,2025-10-29T23:01:15Z,2024-02-10T12:42:10Z,1522,True,False,master,chemistry;conformer-generator;equivariance;geometry;machine-learning;molecules;neurips-2022;torsion-angles,https://arxiv.org/abs/2206.01729,Implementation of Torsional Diffusion for Molecular Conformer Generation (NeurIPS 2022),https://github.com/gcorso/torsional-diffusion
lukasturcani/stk,274,51,10,66,Python,MIT,False,False,2018-03-18T20:57:46Z,2025-10-25T19:26:03Z,2025-10-08T17:07:31Z,47514,False,False,master,cheminformatics;chemistry;computational-chemistry;computational-science;materials-design;materials-discoveries;materials-science;materials-screening;molecular-evolution;molecular-modeling;molecular-structures;reactions,https://stk.readthedocs.io/,"A Python library which allows construction and manipulation of complex molecules, as well as automatic molecular design and the creation of molecular databases.",https://github.com/lukasturcani/stk
bp-kelley/descriptastorus,270,68,9,3,Python,NOASSERTION,False,False,2018-12-17T16:56:09Z,2025-10-10T17:53:25Z,2024-10-26T19:43:46Z,53986,True,False,master,,,Descriptor computation(chemistry) and (optional) storage for machine learning,https://github.com/bp-kelley/descriptastorus
GeoPyTool/GeoPyTool,266,62,17,3,Python,GPL-3.0,False,False,2016-07-08T05:22:00Z,2025-10-22T16:27:13Z,2025-08-15T07:13:03Z,583699,True,False,master,chemistry;cugb;geochemistry;geology;python;sedim;sedimentary;structual,http://geopytool.com/,An application based on Python and designed as a solution for geology related daily work.,https://github.com/GeoPyTool/GeoPyTool
lmmentel/mendeleev,264,49,6,3,Python,MIT,False,False,2019-08-25T13:12:03Z,2025-10-26T20:26:55Z,2025-09-16T19:55:52Z,13302,True,False,master,chemistry;electronegativity;electronegativity-scales;elements;ions;isotope-properties;isotopes;mendeleev;periodic-table;periodic-tables;physical-properties,https://mendeleev.readthedocs.io,"A python package for accessing various properties of elements, ions and isotopes in the periodic table of elements.",https://github.com/lmmentel/mendeleev
thomas0809/MolScribe,239,54,8,19,Python,MIT,False,False,2022-11-10T05:07:55Z,2025-10-27T03:01:15Z,2025-01-09T18:36:51Z,73268,True,False,main,chemistry;deep-learning;molecule,,Robust Molecular Structure Recognition with Image-to-Graph Generation,https://github.com/thomas0809/MolScribe
Quantum-Accelerators/quacc,227,62,4,33,Python,BSD-3-Clause,False,False,2021-12-18T20:57:31Z,2025-10-28T00:57:51Z,2025-10-28T00:58:49Z,68868,False,True,main,chemistry;computational-materials-science;database;dft;high-throughput;hpc;python;quantum-chemistry;quantum-mechanics;workflow,https://quantum-accelerators.github.io/quacc/,quacc is a flexible platform for computational materials science and quantum chemistry that is built for the big data era.,https://github.com/Quantum-Accelerators/quacc
isayev/ASE_ANI,224,55,30,18,Python,MIT,False,False,2016-12-08T05:09:32Z,2025-09-25T15:03:23Z,2024-03-11T21:50:26Z,237288,True,False,master,cheminformatics;chemistry;deep-learning;force-field;neural-network;schrodinger-equation,,ANI-1 neural net potential with python interface (ASE),https://github.com/isayev/ASE_ANI
rxn4chemistry/rxn4chemistry,222,33,13,11,Python,MIT,False,False,2020-04-06T14:11:21Z,2025-10-28T19:49:11Z,2025-09-24T08:47:58Z,7327,True,True,main,,,Python wrapper for the IBM RXN for Chemistry API,https://github.com/rxn4chemistry/rxn4chemistry
ECSIM/opem,220,59,9,1,Python,MIT,False,False,2017-12-16T15:42:52Z,2025-10-22T16:28:22Z,2025-10-28T06:24:59Z,18679,True,True,master,chemistry;dynamic-analysis;electrochemistry;fuel-cell;opem;pem;physics;physics-simulation;python;script;simulation;simulator;static-analysis;static-analyzer,http://opem.ecsim.site,OPEM (Open Source PEM Fuel Cell Simulation Tool),https://github.com/ECSIM/opem
chemlab/chemlab,217,47,34,12,Python,GPL-3.0,False,False,2012-02-06T15:14:56Z,2025-10-22T16:25:29Z,2023-06-08T17:25:18Z,9086,True,True,master,chemistry;molecular-dynamics;molecular-graphics;physics;python,chemlab.github.com/chemlab,The chemistry library you were waiting for,https://github.com/chemlab/chemlab
Fung-Lab/MatDeepLearn,198,42,10,10,Python,,False,False,2020-10-16T15:58:47Z,2025-10-26T18:16:20Z,2023-03-20T06:38:32Z,26747,True,False,main,,,"MatDeepLearn, package for graph neural networks in materials chemistry",https://github.com/Fung-Lab/MatDeepLearn
MolSSI/QCEngine,191,84,13,62,Python,BSD-3-Clause,False,False,2018-03-01T22:25:35Z,2025-10-16T14:32:11Z,2025-07-31T22:14:41Z,11904,False,True,master,chemistry;computational-chemistry;python3;quantum-chemistry;standards,https://molssi.github.io/QCEngine/,Quantum chemistry program executor and IO standardizer (QCSchema).,https://github.com/MolSSI/QCEngine
wigging/chemics,185,16,8,2,Python,MIT,False,False,2018-09-27T20:26:24Z,2025-10-27T20:16:41Z,2024-03-10T14:52:52Z,4545,False,False,main,biomass;chemical-engineering;chemistry;density;fluidization;pressure;python;thermal-conductivity;viscosity,https://chemics.readthedocs.io,A Python package for chemical engineering,https://github.com/wigging/chemics
MolSSI-BSE/basis_set_exchange,184,54,15,99,Python,BSD-3-Clause,False,False,2017-12-04T19:56:23Z,2025-09-16T16:11:53Z,2025-10-29T15:15:12Z,51457,False,True,master,,https://molssi-bse.github.io/basis_set_exchange/,A repository for quantum chemistry basis sets,https://github.com/MolSSI-BSE/basis_set_exchange
MolSSI/QCElemental,176,72,8,53,Python,BSD-3-Clause,False,False,2018-08-31T17:37:37Z,2025-10-20T15:59:19Z,2025-10-07T07:40:41Z,38099,False,True,master,chemistry;codata;computational-chemistry;nist;periodic-table;physical-constant;python;quantum-chemistry;standards,https://molssi.github.io/QCElemental/,"Periodic table, physical constants, and molecule parsing for quantum chemistry.",https://github.com/MolSSI/QCElemental
giacomomarchioro/PyEnergyDiagrams,175,62,6,3,Python,MIT,False,False,2017-01-24T08:38:09Z,2025-10-15T13:12:57Z,2025-07-25T13:31:51Z,431,True,False,master,chemistry;diagrams;physics;plotting,,This is a simple script to plot energy profile diagrams using Python and matplotlib.,https://github.com/giacomomarchioro/PyEnergyDiagrams
kilacoda/chanim,172,15,5,13,Python,MIT,False,False,2020-01-04T08:07:25Z,2025-10-22T16:30:04Z,2023-12-08T16:13:26Z,375,True,False,master,3b1b;chem;chemistry;manim;python,,Animation engine for explanatory chemistry videos,https://github.com/kilacoda/chanim
materialsproject/matbench,170,54,5,52,Python,MIT,False,False,2021-02-24T03:58:42Z,2025-10-17T07:50:39Z,2024-08-20T17:26:52Z,414710,True,True,main,benchmark;chemistry;condensed-matter;data-science;machine-learning;machine-learning-algorithms;materials-science;physics,https://matbench.materialsproject.org,Matbench: Benchmarks for materials science property prediction,https://github.com/materialsproject/matbench
BioSystemsUM/DeepMol,161,16,6,16,Python,BSD-2-Clause,False,False,2020-09-08T14:47:20Z,2025-10-23T06:54:49Z,2025-10-10T10:28:06Z,175896,True,False,master,chemoinformatics;deep-learning;machine-learning,,DeepMol: A Machine and Deep Learning Framework for Computational Chemistry,https://github.com/BioSystemsUM/DeepMol
Electrostatics/pdb2pqr,156,39,16,61,Python,NOASSERTION,False,False,2020-06-29T17:49:20Z,2025-10-21T11:11:10Z,2025-03-02T16:19:43Z,41521,True,False,master,bioinformatics;biophysics;chemistry;hacktoberfest;help-wanted,http://www.poissonboltzmann.org/,"PDB2PQR - determining titration states, adding missing atoms, and assigning charges/radii to biomolecules.",https://github.com/Electrostatics/pdb2pqr
MolSSI/QCFractal,155,52,15,38,Python,BSD-3-Clause,False,False,2017-01-19T20:28:18Z,2025-10-24T17:34:41Z,2025-10-24T19:16:09Z,89725,False,True,main,computational-chemistry;database-platform;distributed-computing;python;quantum-chemistry,https://molssi.github.io/QCFractal/,A distributed compute and database platform for quantum chemistry.,https://github.com/MolSSI/QCFractal
rpmuller/pyquante2,155,63,35,4,Python,NOASSERTION,False,False,2011-04-15T23:41:36Z,2025-05-20T08:23:53Z,2024-04-02T02:43:01Z,1555,True,False,master,,http://pyquante.sourceforge.net,Python Quantum Chemistry Reloaded. This is a rewrite of the standard PyQuante program to clean up things that have been nagging me.,https://github.com/rpmuller/pyquante2
chembl/FPSim2,155,22,20,2,Python,MIT,False,False,2018-10-25T16:41:26Z,2025-10-29T15:21:53Z,2025-09-06T09:36:03Z,6918,True,True,master,cheminformatics;chemistry;gpu;python;similarity-search,https://chembl.github.io/FPSim2,Simple package for fast molecular similarity searches,https://github.com/chembl/FPSim2
derb12/pybaselines,155,19,6,1,Python,BSD-3-Clause,False,False,2021-03-22T22:41:04Z,2025-10-26T08:41:07Z,2025-10-29T01:26:12Z,2855,False,False,main,background-removal;baseline-correction;baseline-removal;chemistry;ftir;materials-characterization;materials-science;python;raman;spectroscopy,https://pybaselines.readthedocs.io,A Python library of algorithms for the baseline correction of experimental data.,https://github.com/derb12/pybaselines
spectrochempy/spectrochempy,153,25,6,16,Python,NOASSERTION,False,False,2020-05-13T06:20:05Z,2025-10-22T16:30:27Z,2025-10-27T00:03:18Z,625830,False,True,master,chemistry;data-analysis;datasets;ftir;ftir-data-analysis;infrared;nmr;nmr-data;nmr-spectroscopy;processing;python;raman;raman-spectra;raman-spectroscopy;spectroscopy;uv-vis,https://www.spectrochempy.fr,"SpectroChemPy is a framework for processing, analyzing and modeling spectroscopic data for chemistry with Python",https://github.com/spectrochempy/spectrochempy
morganjwilliams/pyrolite,150,44,5,14,Python,NOASSERTION,False,False,2018-06-13T06:31:12Z,2025-10-03T18:13:58Z,2025-09-23T06:41:56Z,393984,True,False,main,chemistry;data-science;geochemical-data;geochemistry;geoscience;pyrolite;ternary-diagrams,https://pyrolite.readthedocs.io,A set of tools for getting the most from your geochemical data.,https://github.com/morganjwilliams/pyrolite
Future-House/ether0,143,16,4,5,Python,Apache-2.0,False,False,2025-05-19T22:47:14Z,2025-10-27T19:08:34Z,2025-10-26T14:22:45Z,17874,True,False,main,,,"A scientific reasoning model, dataset, and reward functions for chemistry.",https://github.com/Future-House/ether0
theochem/iodata,137,49,7,36,Python,LGPL-3.0,False,False,2017-08-13T16:24:39Z,2025-10-22T17:15:55Z,2025-10-22T17:15:49Z,5335,False,True,main,computational-biology;computational-chemistry;computational-physics;data-parsing;file-conversion;file-converter;file-format-converter;file-format-library;file-formats;input-output;json-schema;molecular-dynamics;molecular-dynamics-simulation;molecular-electronic-structure;molecular-mechanics;molecular-simulation;quantum-chemistry;quantum-chemistry-packages;quantum-chemistry-programs;theoretical-chemistry,https://iodata.readthedocs.io/,"Python library for reading, writing, and converting computational chemistry file formats and generating input files.",https://github.com/theochem/iodata
sandbox-quantum/Tangelo,131,35,8,11,Python,NOASSERTION,False,False,2021-03-04T19:19:12Z,2025-10-01T02:34:59Z,2025-08-01T18:11:23Z,16984,True,True,main,chemistry;drug-design;drug-discovery;ft;nisq;quantum;quantum-algorithms;quantum-chemistry;quantum-computing,https://sandbox-quantum.github.io/Tangelo/,A python package for exploring end-to-end chemistry workflows on quantum computers and simulators.,https://github.com/sandbox-quantum/Tangelo
mcs07/CIRpy,127,28,11,7,Python,MIT,False,False,2012-03-20T12:25:17Z,2025-07-27T16:22:54Z,2024-03-08T03:53:34Z,62,True,False,master,cheminformatics;chemistry;python,https://cirpy.readthedocs.io,Python wrapper for the NCI Chemical Identifier Resolver (CIR),https://github.com/mcs07/CIRpy
chao1224/Geom3D,127,14,2,4,Python,MIT,False,False,2023-06-07T17:27:56Z,2025-10-28T06:35:04Z,2024-06-05T03:18:58Z,891,True,False,main,3d;3d-structures;ai4science;biology;chemistry;crystals;drugs;equivariance;geometry;group;invariance;material;molecules;physics;proteins;symmetry,https://openreview.net/forum?id=ygXSNrIU1p,"Geom3D: Geometric Modeling on 3D Structures, NeurIPS 2023",https://github.com/chao1224/Geom3D
awesome-panel/panel-chemistry,121,18,6,8,Python,MIT,False,False,2021-05-19T04:16:10Z,2025-10-12T02:04:19Z,2023-11-25T04:49:39Z,46891,True,False,main,chemistry;data-science;dataexploration;datavisualization;molecule;panel;python,,🧪📈 🐍. The purpose of the panel-chemistry project is to make it really easy for you  to do DATA ANALYSIS and build powerful DATA AND VIZ APPLICATIONS within the domain of Chemistry using using Python and HoloViz Panel.,https://github.com/awesome-panel/panel-chemistry
lamalab-org/chembench,120,14,4,59,Python,MIT,False,False,2023-05-16T08:18:26Z,2025-10-26T09:26:18Z,2025-09-11T14:16:08Z,273344,True,True,dev,benchmark;chemistry;llm;llms;llms-benchmarking;machine-learning;materials-science;safety,https://chembench.lamalab.org/,How good are LLMs at chemistry?,https://github.com/lamalab-org/chembench
zadorlab/sella,120,28,10,13,Python,NOASSERTION,False,False,2019-04-09T15:16:08Z,2025-10-15T13:49:58Z,2025-09-17T18:09:35Z,468,True,False,master,chemistry;computational-chemistry;geometry-optimization;python;saddle-point;workflows,https://www.ecc-project.org/,A Python software package for saddle point optimization and minimization of atomic systems.,https://github.com/zadorlab/sella
materialsproject/reaction-network,118,25,2,6,Python,NOASSERTION,False,False,2019-07-12T15:03:27Z,2025-10-29T10:01:19Z,2025-02-04T00:06:57Z,77067,False,True,main,chemistry;materials-science;python;reaction-network;reactions;simulation,https://materialsproject.github.io/reaction-network/,Reaction Network is a Python package for predicting likely inorganic chemical reaction pathways using graph theoretical methods. Project led by @mattmcdermott (formerly at Berkeley Lab).,https://github.com/materialsproject/reaction-network
benstaf/ChemGAN-challenge,115,55,6,1,Python,,False,False,2017-08-28T10:54:18Z,2025-09-17T07:21:48Z,2023-03-24T21:55:57Z,250383,True,False,master,artificial-intelligence;chemistry;deep-learning;drug-discovery;generative-adversarial-network;machine-learning;recurrent-neural-networks;reinforcement-learning,https://arxiv.org/abs/1708.08227,Code for the paper: ChemGAN challenge for drug discovery: can AI reproduce natural chemical diversity? arXiv preprint arXiv:1708.08227.,https://github.com/benstaf/ChemGAN-challenge
dralgroup/mlatom,113,16,3,4,Python,NOASSERTION,False,False,2023-08-16T13:47:48Z,2025-10-23T21:12:38Z,2025-10-23T06:21:38Z,206378,True,False,main,artificial-intelligence;computational-chemistry;deep-learning;kernel-method;kernel-ridge-regression;machine-learning;machine-learning-potential;neural-network;quantum-chemistry;quantum-chemistry-programs;quantum-mechanics,http://mlatom.com,AI-enhanced computational chemistry,https://github.com/dralgroup/mlatom
microsoft/molskill,112,11,4,3,Python,MIT,False,False,2023-01-12T13:48:31Z,2025-09-19T13:45:39Z,2023-10-31T17:03:36Z,23149,True,False,main,,,Extracting medicinal chemistry intuition via preference machine learning,https://github.com/microsoft/molskill
jla-gardner/graph-pes,110,9,1,5,Python,MIT,False,False,2023-10-09T07:18:23Z,2025-10-23T05:01:40Z,2025-10-07T11:01:43Z,18895,True,True,main,chemistry;deep-learning;force-fields;framework;machine-learning,https://jla-gardner.github.io/graph-pes/,train and use graph-based ML models of potential energy surfaces,https://github.com/jla-gardner/graph-pes
Andrew-S-Rosen/periodic_trends,107,31,2,1,Python,MIT,False,False,2017-02-25T15:39:50Z,2025-10-27T05:10:09Z,2025-08-14T20:41:55Z,516,True,False,master,chemistry;python;visualization,,Python script to plot periodic trends as a heat map over the periodic table of elements,https://github.com/Andrew-S-Rosen/periodic_trends
samirelanduk/atomium,106,19,4,15,Python,MIT,False,False,2016-05-04T00:11:12Z,2025-07-27T00:08:46Z,2023-12-07T11:48:47Z,32603,True,False,master,biology;chemistry;molecules;proteins;structural-biology,https://atomium.bio,Python macromolecular parsing (with .pdb/.cif/.mmtf parsing and production),https://github.com/samirelanduk/atomium
JaGeo/LobsterPy,104,35,4,10,Python,BSD-3-Clause,False,False,2021-03-01T10:58:23Z,2025-10-14T13:00:19Z,2025-10-07T18:15:07Z,153833,False,True,main,chemical-bonding;computational-chemistry;computational-materials-science;materials-informatics;plotting;python,https://jageo.github.io/LobsterPy/,Package to perform automatic bonding analysis with the program Lobster in the field of computational materials science and quantum chemistry,https://github.com/JaGeo/LobsterPy
josejimenezluna/delfta,103,17,4,2,Python,AGPL-3.0,False,False,2021-06-01T10:44:31Z,2025-10-24T20:31:45Z,2025-05-05T15:45:16Z,3961,True,False,master,deep-learning;machine-learning;pytorch;quantum-chemistry,,Δ-QML for medicinal chemistry,https://github.com/josejimenezluna/delfta
Mishima-syk/psikit,102,22,5,15,Python,BSD-3-Clause,False,False,2018-09-15T02:12:47Z,2025-08-17T08:49:48Z,2025-05-13T10:28:43Z,822,True,False,master,cheminformatics;chemistry;chemoinformatics;psi;quantum-chemistry;rdkit,,psi4+RDKit,https://github.com/Mishima-syk/psikit
MolSSI/QCSchema,101,38,21,38,Python,BSD-3-Clause,False,False,2017-06-09T15:16:04Z,2025-10-05T21:11:14Z,2022-11-30T14:41:12Z,286,True,False,master,quantum-chemistry;schema,http://molssi-qc-schema.readthedocs.io/en/latest/index.html#,A Schema for Quantum Chemistry,https://github.com/MolSSI/QCSchema
PyAbel/PyAbel,101,42,9,25,Python,MIT,False,False,2015-02-02T03:59:28Z,2025-10-26T21:41:29Z,2025-10-26T21:41:24Z,23407,False,False,master,chemistry;imaging;laser;math;physical-chemistry;physics;python,,A python package for Abel and inverse Abel transforms,https://github.com/PyAbel/PyAbel
muammar/ml4chem,100,15,3,8,Python,NOASSERTION,False,False,2018-12-14T22:28:22Z,2025-10-25T01:42:10Z,2024-12-09T17:11:58Z,2918,True,False,master,chemistry;deeplearning;kernel;kernel-methods;machine-learning;materials-science;physics,https://ml4chem.dev,ML4Chem:  Machine Learning for Chemistry and Materials,https://github.com/muammar/ml4chem
OSU-NLP-Group/LLM4Chem,97,17,7,0,Python,MIT,False,False,2024-02-13T22:29:28Z,2025-10-21T20:31:10Z,2025-06-09T05:13:02Z,136472,False,True,main,ai4science;chemistry;llms;molecule,https://osu-nlp-group.github.io/LLM4Chem/,"Official code repo for the paper ""LlaSMol: Advancing Large Language Models for Chemistry with a Large-Scale, Comprehensive, High-Quality Instruction Tuning Dataset""",https://github.com/OSU-NLP-Group/LLM4Chem
